The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", ls_singlevalue "single value [mm^2]", ls_n "sample size", ls_valid "valid", ref_refname "reference", ls_mean "mean LS [mm^2]", ls_maximum "maximum LS [mm^2]", ls_minimum "minimum LS [mm^2]", ls_median "median LS [mm^2]", ls_replicates "number of replicates", ls_stddev "standard deviation", ls_stderror "standard error", ls_collectiondate "collection date", ls_comment "general comment", lflv_name "leaf state", or_origrefname "original reference" FROM (SELECT case when ls_median is not null then ls_median when ls_mean is not null then ls_mean when ls_minimum is not null and ls_maximum is not null then (ls_minimum + ls_maximum) / 2 when ls_minimum is not null then ls_minimum when ls_maximum is not null then ls_maximum else null end AS ls_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, ls_median, ls_mean, ls_minimum, ls_maximum, ls_n, ls_valid, ref_refname, ls_replicates, ls_stddev, ls_stderror, ls_collectiondate, ls_comment, lflv_name, or_origrefname, ls_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_ls.m_methodname, m_ls.ls_median, m_ls.ls_mean, m_ls.ls_minimum, m_ls.ls_maximum, m_ls.ls_n, m_ls.ls_valid, m_ls.ref_refname, m_ls.ls_replicates, m_ls.ls_stddev, m_ls.ls_stderror, m_ls.ls_collectiondate, m_ls.ls_comment, m_ls.lflv_name, m_ls.or_origrefname, m_ls.ls_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_ls.ls_sbsnumber, m.m_methodname, r_ls.ls_median, r_ls.ls_mean, r_ls.ls_minimum, r_ls.ls_maximum, r_ls.ls_n, r_ls.ls_valid, r_ls.ref_refname, r_ls.ls_replicates, r_ls.ls_stddev, r_ls.ls_stderror, r_ls.ls_collectiondate, r_ls.ls_comment, r_ls.lflv_name, r_ls.or_origrefname FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT ls_lflv.ls_sbsnumber, ls_lflv.ls_methodid, ls_lflv.ls_median, ls_lflv.ls_mean, ls_lflv.ls_minimum, ls_lflv.ls_maximum, ls_lflv.ls_n, ls_lflv.ls_valid, r.ref_refname, ls_lflv.ls_replicates, ls_lflv.ls_stddev, ls_lflv.ls_stderror, ls_lflv.ls_collectiondate, ls_lflv.ls_comment, ls_lflv.lflv_name, ls_lflv.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT ls_orf.ls_sbsnumber, ls_orf.ls_methodid, ls_orf.ls_median, ls_orf.ls_mean, ls_orf.ls_minimum, ls_orf.ls_maximum, ls_orf.ls_n, ls_orf.ls_valid, ls_orf.ls_referenceid, ls_orf.ls_replicates, ls_orf.ls_stddev, ls_orf.ls_stderror, ls_orf.ls_collectiondate, ls_orf.ls_comment, lflv.lflv_name, ls_orf.or_origrefname FROM (SELECT ls.ls_sbsnumber, ls.ls_methodid, ls.ls_median, ls.ls_mean, ls.ls_minimum, ls.ls_maximum, ls.ls_n, ls.ls_valid, ls.ls_referenceid, ls.ls_replicates, ls.ls_stddev, ls.ls_stderror, ls.ls_collectiondate, ls.ls_comment, ls.ls_leafformid, orf.or_origrefname FROM (SELECT sbsnumber AS ls_sbsnumber, methodid AS ls_methodid, median AS ls_median, mean AS ls_mean, minimum AS ls_minimum, maximum AS ls_maximum, n AS ls_n, valid AS ls_valid, referenceid AS ls_referenceid, replicates AS ls_replicates, stddeviation AS ls_stddev, stderror AS ls_stderror, collectiondate AS ls_collectiondate, p_comment AS ls_comment, leafformid AS ls_leafformid, origreferenceid AS ls_origreferenceid FROM (SELECT sbsnumber, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, leafformid, leafsizeid FROM leafsize natural join taxontosbsassignment WHERE valid IN (-2, 1))) ls FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON ls.ls_origreferenceid = orf.or_origrefid) ls_orf FULL JOIN (SELECT leafformid AS lflv_id, leafformname AS lflv_name FROM (select leafformid, leafformname from leafform_lv)) lflv ON ls_orf.ls_leafformid = lflv.lflv_id) ls_lflv ON r.ref_referenceid = ls_lflv.ls_referenceid) r_ls ON m.m_methodid = r_ls.ls_methodid) m_ls ON sbs.sbs_sbsnumber = m_ls.ls_sbsnumber)) ORDER BY sbs_sbsname
on Tue Apr 29 10:38:50 CEST 2008 .

SBS name;SBS number;general method;single value [mm^2];sample size;valid;reference;mean LS [mm^2];maximum LS [mm^2];minimum LS [mm^2];median LS [mm^2];number of replicates;standard deviation;standard error;collection date;general comment;leaf state;original reference
Achillea pannonica;5321;actual measurement (following LEDA data standards);979;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1187.19;2361;386;979;1;;;2004-08-09 00:00:00.0;Preaggregated value obtained from single record. ground leaves;with petiole and rachis;
Achillea ptarmica;4799;actual measurement;119;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;119;;;2;;;1996-07-15 00:00:00.0;;without petiole and rachis;
Acinos arvensis;24493;actual measurement;876;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;876;;;2;;;1996-08-08 00:00:00.0;;without petiole and rachis;
Acinos arvensis;24493;actual measurement (following LEDA data standards);44.47;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;48.18;68.74;30.02;44.47;2;;;2004-05-13 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Acinos arvensis;24493;actual measurement;57;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;57;;;2;;;1996-06-18 00:00:00.0;;without petiole and rachis;
Acinos arvensis;24493;actual measurement (following LEDA data standards);41.5;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;45.8;67;28.5;41.5;2;;;2004-05-13 00:00:00.0;Preaggregated value obtained from single record. ;without petiole and rachis;
Aconitum lycoctonum subsp. vulparia;45330;actual measurement (following LEDA data standards);11263.75;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;15700.12;30240;8972;11263.75;2;;;2004-07-10 00:00:00.0;Preaggregated value obtained from single record. ;without petiole and rachis;
Aconitum lycoctonum subsp. vulparia;45330;actual measurement (following LEDA data standards);11760.75;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;16864.56;32472.5;9535;11760.75;2;;;2004-07-10 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Aconitum napellus;27279;actual measurement (following LEDA data standards);5434.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;6137;10711.5;3725.5;5434.75;2;;;2004-07-10 00:00:00.0;Preaggregated value obtained from single record. ;without petiole and rachis;
Aconitum napellus;27279;actual measurement (following LEDA data standards);5636.5;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;6329.35;10972;3853.5;5636.5;2;;;2004-07-10 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Acorus calamus;35825;actual measurement;14671;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;14671;;;2;;;1996-09-02 00:00:00.0;;without petiole and rachis;
Acorus calamus;35825;actual measurement (following LEDA data standards);5463.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Krüger), Correspondig address: michael.kleyer@uni-oldenburg.de;5783.4;11756.5;2814.5;5463.75;2;;;;Preaggregated value obtained from single record. ;without petiole and rachis;
Actaea spicata;27324;actual measurement (following LEDA data standards);21729;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;24053.7;55639;10955;21729;1;;;2004-08-09 00:00:00.0;Preaggregated value obtained from single record. ;without petiole and rachis;
Actaea spicata;27324;actual measurement (following LEDA data standards);22153.5;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;24496.9;56896;11318;22153.5;1;;;2004-08-09 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Adenostyles alliariae;3188;actual measurement (following LEDA data standards);73168.5;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;69474.67;96303.5;43933;73168.5;2;;;2004-07-09 00:00:00.0;Preaggregated value obtained from single record. ;without petiole and rachis;
Adenostyles alliariae;3188;actual measurement (following LEDA data standards);76372.5;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;73119.39;101101;46502.5;76372.5;2;;;2004-07-09 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Adonis aestivalis;27328;actual measurement (following LEDA data standards);193.5;1;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;193.5;193.5;193.5;193.5;2;;;2004-07-13 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Adonis vernalis;29095;actual measurement (following LEDA data standards);279;10;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;279.8;370;156;279;2;;;2005-06-12 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Adoxa moschatellina;2407;actual measurement;1168;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1168;;;2;;;1996-05-10 00:00:00.0;;without petiole and rachis;
Adoxa moschatellina;2407;actual measurement;1951;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1951;;;2;;;1996-05-23 00:00:00.0;;without petiole and rachis;
Adoxa moschatellina;2407;actual measurement;2592;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;2592;;;2;;;1996-04-30 00:00:00.0;;without petiole and rachis;
Aegopodium podagraria;2007;actual measurement;7355.726;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;7355.726;;;2;;;2004-10-13 00:00:00.0;;without petiole and rachis;
Aegopodium podagraria;2007;actual measurement;12318;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;12318;;;2;;;1996-09-05 00:00:00.0;;without petiole and rachis;
Aegopodium podagraria;2007;actual measurement;20827;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;20827;;;2;;;1996-09-02 00:00:00.0;;without petiole and rachis;
Aesculus hippocastanum;24982;actual measurement;6331.6;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;6331.6;;;;5;2130.84;;1995-07-01 00:00:00.0;;without petiole and rachis;
Aesculus hippocastanum;24982;actual measurement;6725.8;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;6725.8;;;;5;2366.24;;1995-07-01 00:00:00.0;;without petiole and rachis;
Aethusa cynapium;1502;actual measurement;1242;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1242;;;2;;;1996-07-08 00:00:00.0;;without petiole and rachis;
Aethusa cynapium;1502;actual measurement;1557;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;1557;;;2;;;1996-05-21 00:00:00.0;;without petiole and rachis;
Aethusa cynapium;1502;actual measurement (following LEDA data standards);7960.03;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;7995.24;9501.05;6524.64;7960.03;2;;;2004-07-08 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Aethusa cynapium;1502;actual measurement;2072;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;2072;;;2;;;1996-08-08 00:00:00.0;;without petiole and rachis;
Agrimonia eupatoria;29512;actual measurement;12103;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;12103;;;2;;;1996-08-29 00:00:00.0;;without petiole and rachis;
Agrimonia eupatoria;29512;actual measurement;4819;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;4819;;;2;;;1996-07-15 00:00:00.0;;without petiole and rachis;
Agrimonia procera;29916;actual measurement;13928;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;13928;;;2;;;1996-09-23 00:00:00.0;;without petiole and rachis;
Agrimonia procera;29916;actual measurement (following LEDA data standards);11469.71;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;11940.2;15351.66;9209.5;11469.71;2;;;2004-08-13 00:00:00.0;Preaggregated value obtained from single record. ;without petiole and rachis;
Agrimonia procera;29916;actual measurement (following LEDA data standards);11850.46;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;12188;15580.66;9335.5;11850.46;2;;;2004-08-13 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Agropyron cristatum;40526;field experiment;423;1;1;Garnier, E. (1997): Specific leaf area and nitrogen concentration in annual and perennial grass species growing in ...;423;;;;20;.43;.43;1989-05-12 00:00:00.0;vegetative tiller;with petiole and rachis;Garnier, E. (1997): Specific leaf area and nitrogen concentration in annual and perennial grass species growing in ...
Agrostemma githago;16318;laboratory/greenhouse/garden experiment;999.75;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1011.65;1422;656;999.75;2;;;2004-06-01 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
Agrostis canina;40532;actual measurement;107;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;107;;;2;;;1996-08-08 00:00:00.0;;without petiole and rachis;
Agrostis canina;40532;actual measurement (following LEDA data standards);27;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Krüger), Correspondig address: michael.kleyer@uni-oldenburg.de;25.94;34;12.6;27;2;;;;Preaggregated value obtained from single record. ;without petiole and rachis;
Agrostis capillaris;41392;actual measurement;206;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;206;;;2;;;1996-08-14 00:00:00.0;;without petiole and rachis;
Agrostis capillaris;41392;actual measurement;353;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;353;;;2;;;1996-08-08 00:00:00.0;;without petiole and rachis;
Agrostis capillaris;41392;actual measurement;448;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;448;;;2;;;;;without petiole and rachis;
Agrostis curtisii;40483;actual measurement;40;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;;40;;;2;;;1996-08-31 00:00:00.0;;without petiole and rachis;
Agrostis gigantea;40852;actual measurement (following LEDA data standards);304.5;5;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;319.94;486.68;234.5;304.5;2;;;2004-09-08 00:00:00.0;Preaggregated value obtained from single record. ;with petiole and rachis;
