The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", dia_name "diaspore type", sm_singlevalue "single value [mg]", sm_samples "sample size", sm_valid "valid", sm_median "median", ref_refname "reference", sm_mean "mean SM [mg]", sm_maximum "maximum SM [mg]", sm_minimum "minimum SM [mg]", sm_replicates "number of replicates", sm_gencomment "general comment", dmlv_name "Drying method", or_origrefname "original reference", dia_code "diaspore type code" FROM (SELECT case when sm_median is not null then sm_median when sm_mean is not null then sm_mean when sm_minimum is not null and sm_maximum is not null then (sm_minimum + sm_maximum) / 2 when sm_minimum is not null then sm_minimum when sm_maximum is not null then sm_maximum else null end AS sm_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, dia_name, sm_median, sm_mean, sm_minimum, sm_maximum, sm_samples, sm_valid, ref_refname, sm_replicates, sm_gencomment, dmlv_name, or_origrefname, dia_code, sm_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, sm_m.m_methodname, sm_m.dia_name, sm_m.sm_median, sm_m.sm_mean, sm_m.sm_minimum, sm_m.sm_maximum, sm_m.sm_samples, sm_m.sm_valid, sm_m.ref_refname, sm_m.sm_replicates, sm_m.sm_gencomment, sm_m.dmlv_name, sm_m.or_origrefname, sm_m.dia_code, sm_m.sm_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT sm_dialv.sm_sbsnumber, m.m_methodname, sm_dialv.dia_name, sm_dialv.sm_median, sm_dialv.sm_mean, sm_dialv.sm_minimum, sm_dialv.sm_maximum, sm_dialv.sm_samples, sm_dialv.sm_valid, sm_dialv.ref_refname, sm_dialv.sm_replicates, sm_dialv.sm_gencomment, sm_dialv.dmlv_name, sm_dialv.or_origrefname, sm_dialv.dia_code FROM (SELECT r_sm.sm_sbsnumber, r_sm.sm_methodid, dialv.dia_name, r_sm.sm_median, r_sm.sm_mean, r_sm.sm_minimum, r_sm.sm_maximum, r_sm.sm_samples, r_sm.sm_valid, r_sm.ref_refname, r_sm.sm_replicates, r_sm.sm_gencomment, r_sm.dmlv_name, r_sm.or_origrefname, dialv.dia_code FROM (SELECT sm_dmlv.sm_sbsnumber, sm_dmlv.sm_methodid, sm_dmlv.sm_diasporemorphid, sm_dmlv.sm_median, sm_dmlv.sm_mean, sm_dmlv.sm_minimum, sm_dmlv.sm_maximum, sm_dmlv.sm_samples, sm_dmlv.sm_valid, r.ref_refname, sm_dmlv.sm_replicates, sm_dmlv.sm_gencomment, sm_dmlv.dmlv_name, sm_dmlv.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT sm_orf.sm_sbsnumber, sm_orf.sm_methodid, sm_orf.sm_diasporemorphid, sm_orf.sm_median, sm_orf.sm_mean, sm_orf.sm_minimum, sm_orf.sm_maximum, sm_orf.sm_samples, sm_orf.sm_valid, sm_orf.sm_referenceid, sm_orf.sm_replicates, sm_orf.sm_gencomment, dmlv.dmlv_name, sm_orf.or_origrefname FROM (SELECT sm.sm_sbsnumber, sm.sm_methodid, sm.sm_diasporemorphid, sm.sm_median, sm.sm_mean, sm.sm_minimum, sm.sm_maximum, sm.sm_samples, sm.sm_valid, sm.sm_referenceid, sm.sm_replicates, sm.sm_gencomment, sm.sm_dryingmethodid, orf.or_origrefname FROM (SELECT sbsnumber AS sm_sbsnumber, methodid AS sm_methodid, germinuleordispersuleid AS sm_diasporemorphid, median AS sm_median, mean AS sm_mean, minimum AS sm_minimum, maximum AS sm_maximum, n AS sm_samples, valid AS sm_valid, referenceid AS sm_referenceid, seednumberperindividual AS sm_replicates, p_comment AS sm_gencomment, dryingmethodid AS sm_dryingmethodid, origreferenceid AS sm_origreferenceid FROM (SELECT seedweightid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, n, seednumberperindividual, germinuleordispersuleid, mean, minimum, maximum, median, methodid, dryingmethodid, balanceerror, stddeviation, stderror, collectiondate, p_comment, created_when, updated_when, valid, validsince, validuntil, ledaid FROM seedweight NATURAL JOIN taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) sm FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON sm.sm_origreferenceid = orf.or_origrefid) sm_orf FULL JOIN (SELECT dryingmethodid AS dmlv_id, dryingmethodname AS dmlv_name FROM (select dryingmethodid, dryingmethodname from dryingmethod_lv)) dmlv ON sm_orf.sm_dryingmethodid = dmlv.dmlv_id) sm_dmlv ON r.ref_referenceid = sm_dmlv.sm_referenceid) r_sm LEFT JOIN (SELECT diasporemorphologyid AS dia_id, diasporemorphologyname AS dia_name, diasporemorphologycode AS dia_code FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) dialv ON r_sm.sm_diasporemorphid = dialv.dia_id) sm_dialv LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON sm_dialv.sm_methodid = m.m_methodid) sm_m ON sbs.sbs_sbsnumber = sm_m.sm_sbsnumber)) ORDER BY sbs_sbsname
on Fri Mar 14 16:35:53 CET 2008 .

SBS name;SBS number;general method;diaspore type;single value [mg];sample size;valid;median;reference;mean SM [mg];maximum SM [mg];minimum SM [mg];number of replicates;general comment;Drying method;original reference;diaspore type code
Acer pseudoplatanus;803;actual measurement;germinule;44.8;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;44.8;;;25;;Air dried weight;;3
Acer pseudoplatanus;803;actual measurement;germinule;110.717;;-4;;BIOLFLOR database;110.717;128.6;81.57;;;Air dried weight;;3
Acer pseudoplatanus;803;actual measurement;germinule;26.8;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;26.8;;;100;;Air dried weight;;3
Acer pseudoplatanus;803;actual measurement;germinule;34.47;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;34.47;;;20;;Air dried weight;;3
Acer pseudoplatanus;803;actual measurement;one-seeded generative dispersule;44.8;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;44.8;;;25;;Air dried weight;;2a
Acer pseudoplatanus;803;actual measurement;one-seeded generative dispersule;26.8;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;26.8;;;100;;Air dried weight;;2a
Acer pseudoplatanus;803;actual measurement;one-seeded generative dispersule;34.47;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;34.47;;;20;;Air dried weight;;2a
Acer pseudoplatanus;803;actual measurement;one-seeded generative dispersule;110.717;;-4;;BIOLFLOR database;110.717;128.6;81.57;;;Air dried weight;;2a
Acer saccharinum;805;actual measurement;generative dispersule;39.14;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);39.14;;;1;Measurement was number of seeds per kilogram, n an replicates unknown;Unknown;;2
Achillea atrata;4794;actual measurement;germinule;.32;;-4;;BIOLFLOR database;.32;;;;;Air dried weight;;3
Achillea atrata;4794;actual measurement;one-seeded generative dispersule;.32;;-4;;BIOLFLOR database;.32;;;;;Air dried weight;;2a
Achillea cartilaginea;4689;actual measurement;one-seeded generative dispersule;.23;;-4;;BIOLFLOR database;.23;.239;.22;;;Air dried weight;;2a
Achillea cartilaginea;4689;actual measurement;germinule;.23;;-4;;BIOLFLOR database;.23;.239;.22;;;Air dried weight;;3
Achillea cartilaginea;4689;actual measurement;one-seeded generative dispersule;.265;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.265;.266;.264;50;;Air dried weight;;2a
Achillea clavennae;3559;actual measurement;germinule;.494;;-4;;BIOLFLOR database;.494;.503;.488;;;Air dried weight;;3
Achillea clavennae;3559;actual measurement;one-seeded generative dispersule;.494;;-4;;BIOLFLOR database;.494;.503;.488;;;Air dried weight;;2a
Achillea collina;3512;actual measurement;germinule;.135;;-4;;BIOLFLOR database;.135;.141;.132;;;Air dried weight;;3
Achillea collina;3512;actual measurement;unknown;.16;0;1;;Pluess, Andrea(2005): Seed weight increases with altitude in the Swiss Alps between related species but not among populations of individual species [144];.16;;;0;;Air dried weight;Pluess, Andrea(2005): Seed weight increases with altitude in the Swiss Alps between related species but not among populations of individual species [144];4
Achillea collina;3512;actual measurement;one-seeded generative dispersule;.135;;-4;;BIOLFLOR database;.135;.141;.132;;;Air dried weight;;2a
Achillea distans;5359;actual measurement;one-seeded generative dispersule;.303;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.303;;;100;;Air dried weight;;2a
Achillea millefolium;3013;actual measurement;one-seeded generative dispersule;.131;;-4;;BIOLFLOR database;.131;.16;.1;;;Air dried weight;;2a
Achillea millefolium;3013;actual measurement;one-seeded generative dispersule;.1286;5;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.1286;.136;.124;100;;Air dried weight;;2a
Achillea millefolium;3013;other;one-seeded generative dispersule;.1692;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.1692;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;2a
Achillea millefolium;3013;actual measurement;generative dispersule;.07;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.07;;;1;n an replicates unknown;Air dried weight;;2
Achillea millefolium;3013;actual measurement;germinule;.16;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.16;;;50;;Air dried weight;;3
Achillea millefolium;3013;actual measurement;germinule;.131;;-4;;BIOLFLOR database;.131;.16;.1;;;Air dried weight;;3
Achillea millefolium;3013;actual measurement;germinule;.05;1;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.05;;;50;50-2000 air-dried matured seeds;Air dried weight;;3
Achillea millefolium;3013;actual measurement;one-seeded generative dispersule;.16;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.16;;;50;;Air dried weight;;2a
Achillea millefolium;3013;actual measurement;germinule;.133;7;1;;Götzenberger, Lars (lars.goetzenberger@ufz.de);.133;;;1;summers of 1995 and 1996;Unknown;;3
Achillea millefolium;3013;actual measurement (following LEDA data standards);germinule;.14;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.14;;;100;used balance: Mettler H51, seed;Air dried weight;;3
Achillea millefolium;3013;other;germinule;.1692;1;1;;Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3AB, UK (http://www.kew.org);.1692;;;1000;1000 seed weight, unknown number of individuals;Air dried weight;;3
Achillea millefolium;3013;actual measurement (following LEDA data standards);germinule;.14;1;-2;.14;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.14;.14;.14;;preaggregated value obtained from single record;Air dried weight;;3
Achillea nobilis;3014;actual measurement;one-seeded generative dispersule;.061;;-4;;BIOLFLOR database;.061;.062;.06;;;Air dried weight;;2a
Achillea nobilis;3014;actual measurement;germinule;.061;;-4;;BIOLFLOR database;.061;.062;.06;;;Air dried weight;;3
Achillea nobilis;3014;actual measurement;generative dispersule;.068;5;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.068;.08;.05;1;;Air dried weight;;2
Achillea pannonica;5321;actual measurement;germinule;.138;;-4;;BIOLFLOR database;.138;.138;.137;;;Air dried weight;;3
Achillea pannonica;5321;actual measurement;one-seeded generative dispersule;.138;;-4;;BIOLFLOR database;.138;.138;.137;;;Air dried weight;;2a
Achillea ptarmica;4799;actual measurement;germinule;.223;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.223;;;100;;Air dried weight;;3
Achillea ptarmica;4799;actual measurement;germinule;.246;;-4;;BIOLFLOR database;.246;.3;.213;;;Air dried weight;;3
Achillea ptarmica;4799;actual measurement;one-seeded generative dispersule;.223;1;1;;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;.223;;;100;;Air dried weight;;2a
Achillea ptarmica;4799;actual measurement;one-seeded generative dispersule;.246;;-4;;BIOLFLOR database;.246;.3;.213;;;Air dried weight;;2a
Achillea ptarmica;4799;actual measurement;one-seeded generative dispersule;.0835;2;1;;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;.0835;.087;.08;100;;Air dried weight;;2a
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.38;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.38;;;100;used balance: Mettler H51, seed without pappus;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.33;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.33;;;20;used balance: Mettler H51, seed;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.31;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.31;;;20;used balance: Mettler H51, seed;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.3;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.3;;;20;used balance: Mettler H51, seed;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.31;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.31;;;20;used balance: Mettler H51, seed;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.3;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.3;;;20;used balance: Mettler H51, seed;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.32;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.32;;;20;used balance: Mettler H51, seed;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.28;1;-4;;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.28;;;20;used balance: Mettler H51, seed;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.31;7;-2;.31;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.31;.33;.28;;preaggregated value obtained from single record;Air dried weight;;3
Achillea ptarmica;4799;actual measurement (following LEDA data standards);germinule;.38;1;-2;.38;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;.38;.38;.38;;preaggregated value obtained from single record;Air dried weight;;3
Achillea setacea;5941;actual measurement;one-seeded generative dispersule;.17;;-4;;BIOLFLOR database;.17;.176;.166;;;Air dried weight;;2a
Achillea setacea;5941;actual measurement;germinule;.17;;-4;;BIOLFLOR database;.17;.176;.166;;;Air dried weight;;3
