The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", lm_singlevalue "single value [mg]", lm_n "sample size", lm_valid "valid", ref_refname "reference", lflv_name "leaf state", lm_mean "mean LM [mg]", lm_maximum "maximum LM [mg]", lm_minimum "minimum LM [mg]", lm_median "median LM [mg]", lm_replicates "number of replicates", lm_stddev "standard deviation", lm_stderror "standard error", lm_collectiondate "collection date", lm_comment "general comment", or_origrefname "original reference" FROM (SELECT case when lm_median is not null then lm_median when lm_mean is not null then lm_mean when lm_minimum is not null and lm_maximum is not null then (lm_minimum + lm_maximum) / 2 when lm_minimum is not null then lm_minimum when lm_maximum is not null then lm_maximum else null end AS lm_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, lm_median, lm_mean, lm_minimum, lm_maximum, lm_n, lm_valid, ref_refname, lflv_name, lm_replicates, lm_stddev, lm_stderror, lm_collectiondate, lm_comment, or_origrefname, lm_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_lm.m_methodname, m_lm.lm_median, m_lm.lm_mean, m_lm.lm_minimum, m_lm.lm_maximum, m_lm.lm_n, m_lm.lm_valid, m_lm.ref_refname, m_lm.lflv_name, m_lm.lm_replicates, m_lm.lm_stddev, m_lm.lm_stderror, m_lm.lm_collectiondate, m_lm.lm_comment, m_lm.or_origrefname, m_lm.lm_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_lm.lm_sbsnumber, m.m_methodname, r_lm.lm_median, r_lm.lm_mean, r_lm.lm_minimum, r_lm.lm_maximum, r_lm.lm_n, r_lm.lm_valid, r_lm.ref_refname, r_lm.lflv_name, r_lm.lm_replicates, r_lm.lm_stddev, r_lm.lm_stderror, r_lm.lm_collectiondate, r_lm.lm_comment, r_lm.or_origrefname FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT lm_lflv.lm_sbsnumber, lm_lflv.lm_methodid, lm_lflv.lm_median, lm_lflv.lm_mean, lm_lflv.lm_minimum, lm_lflv.lm_maximum, lm_lflv.lm_n, lm_lflv.lm_valid, r.ref_refname, lm_lflv.lflv_name, lm_lflv.lm_replicates, lm_lflv.lm_stddev, lm_lflv.lm_stderror, lm_lflv.lm_collectiondate, lm_lflv.lm_comment, lm_lflv.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT lm_orf.lm_sbsnumber, lm_orf.lm_methodid, lm_orf.lm_median, lm_orf.lm_mean, lm_orf.lm_minimum, lm_orf.lm_maximum, lm_orf.lm_n, lm_orf.lm_valid, lm_orf.lm_referenceid, lflv.lflv_name, lm_orf.lm_replicates, lm_orf.lm_stddev, lm_orf.lm_stderror, lm_orf.lm_collectiondate, lm_orf.lm_comment, lm_orf.or_origrefname FROM (SELECT lm.lm_sbsnumber, lm.lm_methodid, lm.lm_median, lm.lm_mean, lm.lm_minimum, lm.lm_maximum, lm.lm_n, lm.lm_valid, lm.lm_referenceid, lm.lm_leafformid, lm.lm_replicates, lm.lm_stddev, lm.lm_stderror, lm.lm_collectiondate, lm.lm_comment, orf.or_origrefname FROM (SELECT sbsnumber AS lm_sbsnumber, methodid AS lm_methodid, median AS lm_median, mean AS lm_mean, minimum AS lm_minimum, maximum AS lm_maximum, n AS lm_n, valid AS lm_valid, referenceid AS lm_referenceid, leafformid AS lm_leafformid, replicates AS lm_replicates, stddeviation AS lm_stddev, stderror AS lm_stderror, collectiondate AS lm_collectiondate, p_comment AS lm_comment, origreferenceid AS lm_origreferenceid FROM (SELECT sbsnumber, leafmassid, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, leafformid FROM leafmass natural join taxontosbsassignment WHERE valid IN (-2, 1))) lm FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON lm.lm_origreferenceid = orf.or_origrefid) lm_orf FULL JOIN (SELECT leafformid AS lflv_id, leafformname AS lflv_name FROM (select leafformid, leafformname from leafform_lv)) lflv ON lm_orf.lm_leafformid = lflv.lflv_id) lm_lflv ON r.ref_referenceid = lm_lflv.lm_referenceid) r_lm ON m.m_methodid = r_lm.lm_methodid) m_lm ON sbs.sbs_sbsnumber = m_lm.lm_sbsnumber)) ORDER BY sbs_sbsname
on Tue Apr 29 10:41:16 CEST 2008 .

SBS name;SBS number;general method;single value [mg];sample size;valid;reference;leaf state;mean LM [mg];maximum LM [mg];minimum LM [mg];median LM [mg];number of replicates;standard deviation;standard error;collection date;general comment;original reference
Achillea pannonica;5321;actual measurement (following LEDA data standards);14.06;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;14.06;19.62;8.42;14.06;2;;;2004-08-09 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Achillea pannonica;5321;actual measurement (following LEDA data standards);180.55;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;210.68;413.01;60.62;180.55;1;;;2004-08-09 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Achillea pannonica;5321;actual measurement (following LEDA data standards);14.24;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;14.06;19.62;8.42;14.24;2;;;2004-08-09 00:00:00.0;preaggregated value obtained from single record;
Achillea pannonica;5321;actual measurement (following LEDA data standards);150.41;7;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;210.68;413.01;60.62;150.41;1;;;2004-08-09 00:00:00.0;preaggregated value obtained from single record;
Achillea ptarmica;4799;actual measurement;5.617766497;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;5.617766497;;;2;;;1996-07-15 00:00:00.0;;
Acinos arvensis;24493;actual measurement;34.01136364;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;34.01136364;;;2;;;1996-08-08 00:00:00.0;;
Acinos arvensis;24493;actual measurement (following LEDA data standards);2.59;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;2.64;3.9;1.51;2.59;2;;;2004-05-13 00:00:00.0;preaggregated value obtained from single record;
Acinos arvensis;24493;actual measurement (following LEDA data standards);2.74;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;2.76;3.94;1.6;2.74;2;;;2004-05-13 00:00:00.0;preaggregated value obtained from single record;
Acinos arvensis;24493;actual measurement (following LEDA data standards);2.76;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;2.76;3.94;1.6;2.76;2;;;2004-05-13 00:00:00.0;Preaggregated value obtained from single record. ;
Acinos arvensis;24493;actual measurement (following LEDA data standards);2.6;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;2.64;3.9;1.51;2.6;2;;;2004-05-13 00:00:00.0;Preaggregated value obtained from single record. ;
Acinos arvensis;24493;actual measurement;3.548192771;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;3.548192771;;;2;;;1996-06-18 00:00:00.0;;
Aconitum lycoctonum subsp. vulparia;45330;actual measurement (following LEDA data standards);485.92;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;500.54;758.37;367.7;485.92;2;;;2004-07-10 00:00:00.0;preaggregated value obtained from single record;
Aconitum lycoctonum subsp. vulparia;45330;actual measurement (following LEDA data standards);609.31;8;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;740.29;1194.16;521.31;609.31;2;;;2004-07-10 00:00:00.0;preaggregated value obtained from single record;
Aconitum lycoctonum subsp. vulparia;45330;actual measurement (following LEDA data standards);619.47;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;740.29;1194.16;521.31;619.47;2;;;2004-07-10 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Aconitum lycoctonum subsp. vulparia;45330;actual measurement (following LEDA data standards);500.54;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;500.54;758.37;367.7;500.54;2;;;2004-07-10 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Aconitum napellus;27279;actual measurement (following LEDA data standards);269.37;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;296.09;538.62;166.61;269.37;2;;;2004-07-10 00:00:00.0;preaggregated value obtained from single record;
Aconitum napellus;27279;actual measurement (following LEDA data standards);306.05;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;336.53;600.6;186.35;306.05;2;;;2004-07-10 00:00:00.0;preaggregated value obtained from single record;
Aconitum napellus;27279;actual measurement (following LEDA data standards);330.99;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;336.53;600.6;186.35;330.99;2;;;2004-07-10 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Aconitum napellus;27279;actual measurement (following LEDA data standards);291.79;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;296.09;538.62;166.61;291.79;2;;;2004-07-10 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Acorus calamus;35825;actual measurement;973.1;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;973.1;;;2;;;1996-09-02 00:00:00.0;;
Acorus calamus;35825;actual measurement (following LEDA data standards);537.48;20;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Krüger), Correspondig address: michael.kleyer@uni-oldenburg.de;without petiole and rachis;595.54;1412.75;244.85;537.48;2;;;;Preaggregated value obtained from single record. ;
Actaea spicata;27324;actual measurement (following LEDA data standards);509.4;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;574.87;1277.56;266.61;509.4;1;;;2004-08-09 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Actaea spicata;27324;actual measurement (following LEDA data standards);580.84;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;701.83;1718.15;343.85;580.84;1;;;2004-08-09 00:00:00.0;preaggregated value obtained from single record;
Actaea spicata;27324;actual measurement (following LEDA data standards);592.67;11;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;701.83;1718.15;343.85;592.67;1;;;2004-08-09 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Actaea spicata;27324;actual measurement (following LEDA data standards);501.11;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;574.87;1277.56;266.61;501.11;1;;;2004-08-09 00:00:00.0;preaggregated value obtained from single record;
Adenostyles alliariae;3188;actual measurement (following LEDA data standards);2217.5;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;2561.11;4245;1595;2217.5;2;;;2004-07-09 00:00:00.0;Preaggregated value obtained from single record. ;
Adenostyles alliariae;3188;actual measurement (following LEDA data standards);3320;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;4043.89;7220;2770;3320;2;;;2004-07-09 00:00:00.0;preaggregated value obtained from single record;
Adenostyles alliariae;3188;actual measurement (following LEDA data standards);3495;10;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;4043.89;7220;2770;3495;2;;;2004-07-09 00:00:00.0;Preaggregated value obtained from single record. ;
Adenostyles alliariae;3188;actual measurement (following LEDA data standards);2125;9;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;without petiole and rachis;2561.11;4245;1595;2125;2;;;2004-07-09 00:00:00.0;preaggregated value obtained from single record;
Adonis aestivalis;27328;actual measurement (following LEDA data standards);4.6;2;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;4.6;4.6;4.6;4.6;2;;;2004-07-13 00:00:00.0;Preaggregated value obtained from single record. preaggregated value obtained from single record;
Adonis aestivalis;27328;actual measurement (following LEDA data standards);4.6;1;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;4.6;4.6;4.6;4.6;2;;;2004-07-13 00:00:00.0;preaggregated value obtained from single record;
Adonis vernalis;29095;actual measurement (following LEDA data standards);199.1;1;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;with petiole and rachis;199.1;199.1;199.1;199.1;1;;;2005-05-24 00:00:00.0;preaggregated value obtained from single record;
Adonis vernalis;29095;actual measurement (following LEDA data standards);18.33;10;-2;Source data from University of Groningen, Community and Conservation Ecology Group, NL (Steendam), Corresponding address: R.m.bekker@rug.nl;with petiole and rachis;16.25;21.2;8.25;18.33;2;;;2005-06-12 00:00:00.0;preaggregated value obtained from single record;
Adoxa moschatellina;2407;actual measurement;34.57449275;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;34.57449275;;;2;;;1996-05-10 00:00:00.0;;
Adoxa moschatellina;2407;actual measurement;45.42195247;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;45.42195247;;;2;;;1996-05-23 00:00:00.0;;
Adoxa moschatellina;2407;actual measurement;69.54262597;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;69.54262597;;;2;;;1996-04-30 00:00:00.0;;
Aegopodium podagraria;2007;actual measurement;519.0084626;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;519.0084626;;;2;;;1996-09-05 00:00:00.0;;
Aegopodium podagraria;2007;actual measurement;988.1078676;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;988.1078676;;;2;;;1996-09-02 00:00:00.0;;
Aethusa cynapium;1502;actual measurement;54.84773452;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;54.84773452;;;2;;;1996-05-21 00:00:00.0;;
Aethusa cynapium;1502;actual measurement (following LEDA data standards);205.64;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;230.53;297.37;188.58;205.64;2;;;2004-07-08 00:00:00.0;preaggregated value obtained from single record;
Aethusa cynapium;1502;actual measurement (following LEDA data standards);218.09;4;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;with petiole and rachis;230.53;297.37;188.58;218.09;2;;;2004-07-08 00:00:00.0;Preaggregated value obtained from single record. ;
Aethusa cynapium;1502;actual measurement;86.19929428;3;1;Source data from University of Sheffield, Dept. of Animal and Plant Sciences, UK (Thompson), E-Mail: ken.thompson@sheffield.ac.uk;without petiole and rachis;;86.19929428;;;2;;;1996-08-08 00:00:00.0;;
