The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", m_methodname "general method", rh_singlevalue "single value [m]", rh_n "sample size", rh_valid "record valid", ref_refname "reference", rh_maximum "maximum RH [m]", rh_mean "mean RH [m]", rh_minimum "minimum RH [m]", rh_median "median RH [m]", rh_replicates "number of replicates", rh_comment "general comment", or_origrefname "original reference" FROM (SELECT case when rh_median is not null then rh_median when rh_mean is not null then rh_mean when rh_minimum is not null and rh_maximum is not null then (rh_minimum + rh_maximum) / 2 when rh_minimum is not null then rh_minimum when rh_maximum is not null then rh_maximum else null end AS rh_singlevalue, sbs_sbsname, m_methodname, rh_median, rh_mean, rh_minimum, rh_maximum, rh_n, rh_valid, ref_refname, rh_replicates, rh_comment, or_origrefname, rh_sbsnumber FROM (SELECT sbs.sbs_sbsname, rh_m.m_methodname, rh_m.rh_median, rh_m.rh_mean, rh_m.rh_minimum, rh_m.rh_maximum, rh_m.rh_n, rh_m.rh_valid, rh_m.ref_refname, rh_m.rh_replicates, rh_m.rh_comment, rh_m.or_origrefname, rh_m.rh_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_rh.rh_sbsnumber, m.m_methodname, r_rh.rh_median, r_rh.rh_mean, r_rh.rh_minimum, r_rh.rh_maximum, r_rh.rh_n, r_rh.rh_valid, r_rh.ref_refname, r_rh.rh_replicates, r_rh.rh_comment, r_rh.or_origrefname FROM (SELECT rh_orf.rh_sbsnumber, rh_orf.rh_methodid, rh_orf.rh_median, rh_orf.rh_mean, rh_orf.rh_minimum, rh_orf.rh_maximum, rh_orf.rh_n, rh_orf.rh_valid, r.ref_refname, rh_orf.rh_replicates, rh_orf.rh_comment, rh_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT rh.rh_sbsnumber, rh.rh_methodid, rh.rh_median, rh.rh_mean, rh.rh_minimum, rh.rh_maximum, rh.rh_n, rh.rh_valid, rh.rh_referenceid, rh.rh_replicates, rh.rh_comment, orf.or_origrefname FROM (SELECT sbsnumber AS rh_sbsnumber, methodid AS rh_methodid, median AS rh_median, mean AS rh_mean, minimum AS rh_minimum, maximum AS rh_maximum, n AS rh_n, valid AS rh_valid, referenceid AS rh_referenceid, replicates AS rh_replicates, p_comment AS rh_comment, origreferenceid AS rh_origreferenceid FROM (SELECT releasingheightid, sbsnumber, n, replicates, mean, minimum, maximum, median, stddeviation, stderror, collectiondate, p_comment, methodid, referenceid, supportstructuretypeid, origreferenceid, habitattypeid, georefid, valid, ledaid, batchid FROM releasingheight natural join taxontosbsassignment WHERE valid IN (-2, 1, 2, -8, 2, -8))) rh FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON rh.rh_origreferenceid = orf.or_origrefid) rh_orf ON r.ref_referenceid = rh_orf.rh_referenceid) r_rh LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_rh.rh_methodid = m.m_methodid) rh_m ON sbs.sbs_sbsnumber = rh_m.rh_sbsnumber)) ORDER BY sbs_sbsname
on Fri Feb 05 09:52:56 CET 2010 .

SBS name;general method;single value [m];sample size;record valid;reference;maximum RH [m];mean RH [m];minimum RH [m];median RH [m];number of replicates;general comment;original reference
Achillea millefolium;actual measurement (following LEDA data standards);.63;;1;BIOPOP April 2005;.9;;.36;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Achillea millefolium;unknown;.7;;1;BIOPOP April 2005;1.2;;.2;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Achillea nobilis;unknown;.4;;1;BIOPOP April 2005;.6;;.2;;;;
Achillea pannonica;unknown;.5;;1;BIOPOP April 2005;.8;;.2;;;;
Achillea ptarmica;unknown;.85;;1;BIOPOP April 2005;1.5;;.2;;;;
Achillea ptarmica;unknown;.4;;1;BIOPOP April 2005;;.4;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Achillea roseo-alba;unknown;.75;;1;BIOPOP April 2005;.75;;;;;Value: large plant;Jäger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Kritischer Band
Achillea roseo-alba;unknown;.25;;1;BIOPOP April 2005;;;.25;;;Value: small;Jäger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Kritischer Band
Achillea roseo-alba;unknown;.45;;1;BIOPOP April 2005;.55;;.35;;;;Jäger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Kritischer Band
Achillea setacea;unknown;.25;;1;BIOPOP April 2005;.4;;.1;;;;
Acinos alpinus;actual measurement (following LEDA data standards);.2;25;1;BIOPOP April 2005;.2;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Acinos alpinus;unknown;.175;;1;BIOPOP April 2005;.25;;.1;;;;
Acinos arvensis;unknown;.2;;1;BIOPOP April 2005;.3;;.1;;;;
Aconitum napellus;estimation (following LEDA data standards);1;;1;BIOPOP April 2005;1.5;;.5;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Aconitum variegatum;unknown;1.15;;1;BIOPOP April 2005;1.5;;.8;;;;
Acorus calamus;unknown;.9;;1;BIOPOP April 2005;1.2;;.6;;;;
Acroptilon repens;unknown;.575;;1;BIOPOP April 2005;.75;;.4;;;;
Actaea spicata;actual measurement (following LEDA data standards);.52;;1;BIOPOP April 2005;.69;;.35;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Actaea spicata;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Adenophora lilifolia;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Adenostyles alliariae;unknown;.85;;1;BIOPOP April 2005;1.2;;.5;;;;
Adonis aestivalis;unknown;.4;;1;BIOPOP April 2005;.6;;.2;;;;
Adonis flammea;unknown;.35;;1;BIOPOP April 2005;.5;;.2;;;;
Adonis vernalis;unknown;.25;;1;BIOPOP April 2005;.4;;.1;;;;
Adoxa moschatellina;unknown;.1;;1;BIOPOP April 2005;.15;;.05;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Adoxa moschatellina;unknown;.1;;1;BIOPOP April 2005;;.1;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Aegopodium podagraria;actual measurement (following LEDA data standards);.63;;1;BIOPOP April 2005;.69;;.57;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Aegopodium podagraria;actual measurement (following LEDA data standards);.745;;1;BIOPOP April 2005;1.04;;.45;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Aegopodium podagraria;unknown;.7;;1;BIOPOP April 2005;.9;;.5;;;;
Aegopodium podagraria;unknown;.7;;1;BIOPOP April 2005;;.7;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Aegopodium podagraria;actual measurement (following LEDA data standards);.83;;1;BIOPOP April 2005;1.1;;.56;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Aegopodium podagraria;actual measurement (following LEDA data standards);.85;;1;BIOPOP April 2005;1.2;;.5;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Aesculus hippocastanum;unknown;20;;1;BIOPOP April 2005;20;;;;;;
Aethionema saxatile;actual measurement (following LEDA data standards);.2;25;1;BIOPOP April 2005;.2;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Aethionema saxatile;unknown;.125;;1;BIOPOP April 2005;.2;;.05;;;;
Aethusa cynapium;unknown;.65;;1;BIOPOP April 2005;1.2;;.1;;;;
Aethusa cynapium;unknown;.4;;1;BIOPOP April 2005;;.4;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Agrimonia eupatoria;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Agrimonia eupatoria;unknown;.45;;1;BIOPOP April 2005;;.45;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Agrimonia procera;unknown;1.15;;1;BIOPOP April 2005;1.8;;.5;;;;
Agrostemma githago;laboratory/greenhouse/garden experiment;1.19;21;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.52;1.2;.97;1.19;;(automatically preaggregated values) ;
Agrostemma githago;unknown;.7;;1;BIOPOP April 2005;1;;.4;;;;
Agrostis agrostiflora;unknown;.5;;1;BIOPOP April 2005;.6;;.4;;;;
Agrostis alpina;unknown;.15;;1;BIOPOP April 2005;.2;;.1;;;;
Agrostis canina;estimation (following LEDA data standards);.4;;1;BIOPOP April 2005;.6;;.2;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Agrostis canina;unknown;.35;;1;BIOPOP April 2005;;.35;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Agrostis capillaris;actual measurement (following LEDA data standards);.585;;1;BIOPOP April 2005;.82;;.35;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Agrostis capillaris;actual measurement (following LEDA data standards);.65;;1;BIOPOP April 2005;.83;;.47;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Agrostis capillaris;actual measurement (following LEDA data standards);.585;;1;BIOPOP April 2005;.68;;.49;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Agrostis capillaris;unknown;.5;;1;BIOPOP April 2005;.8;;.2;;;;
Agrostis capillaris;actual measurement (following LEDA data standards);.63;;1;BIOPOP April 2005;.81;;.45;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Agrostis capillaris;actual measurement (following LEDA data standards);.525;;1;BIOPOP April 2005;.7;;.35;;;;Perttula, K. (1941): Untersuchungen über die generative und vegetative Vermehrung der Blütenpflanzen in der Wald-, Hainwiesen- und Hainfelsenvegetation. Annales academiae scientiarium Fennicae. Ser.A
Agrostis gigantea;unknown;.8;;1;BIOPOP April 2005;1.2;;.4;;;;
Agrostis gigantea;unknown;.6;;1;BIOPOP April 2005;;.6;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Agrostis mertensii;actual measurement (following LEDA data standards);.125;12;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.21;.138;.07;.125;;(automatically preaggregated values) ;
Agrostis rupestris;unknown;.075;;1;BIOPOP April 2005;.1;;.05;;;;
Agrostis schleicheri;unknown;.3;;1;BIOPOP April 2005;.4;;.2;;;;
Agrostis stolonifera;unknown;.4;;1;BIOPOP April 2005;.7;;.1;;;;
Agrostis stolonifera;unknown;.7;;1;BIOPOP April 2005;;.7;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Agrostis vinealis;unknown;.3;;1;BIOPOP April 2005;.4;;.2;;;;
Agrostis vinealis;unknown;.35;;1;BIOPOP April 2005;;.35;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Ailanthus altissima;unknown;17.5;;1;BIOPOP April 2005;25;;10;;;;
Ailanthus altissima;unknown;25;;1;BIOPOP April 2005;25;;;;;;
Aira caryophyllea;estimation (following LEDA data standards);.15;;1;BIOPOP April 2005;.2;;.1;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Aira caryophyllea;unknown;.2;;1;BIOPOP April 2005;;.2;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Aira praecox;laboratory/greenhouse/garden experiment;.13;25;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.23;.14;.09;.13;;(automatically preaggregated values) ;
Aira praecox;unknown;.125;;1;BIOPOP April 2005;.2;;.05;;;;
Aira praecox;unknown;.1;;1;BIOPOP April 2005;;.1;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Ajuga chamaepitys;unknown;.1;;1;BIOPOP April 2005;.15;;.05;;;;
Ajuga genevensis;unknown;.185;;1;BIOPOP April 2005;.3;;.07;;;;
Ajuga pyramidalis;unknown;.185;;1;BIOPOP April 2005;.3;;.07;;;;
Ajuga reptans;unknown;.185;;1;BIOPOP April 2005;.3;;.07;;;;
Ajuga reptans;unknown;.2;;1;BIOPOP April 2005;;.2;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Alcea rosea;laboratory/greenhouse/garden experiment;1.66;3;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;1.73;1.55;1.26;1.66;;(automatically preaggregated values) this is Alcea rosea var. alba;
Alcea rosea;unknown;2;;1;BIOPOP April 2005;3;;1;;;;
Alchemilla alpina;actual measurement (following LEDA data standards);.115;3;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.118;.099;.065;.115;;(automatically preaggregated values) ;
Alchemilla alpina;actual measurement (following LEDA data standards);.087;6;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.21;.115;.075;.087;;(automatically preaggregated values) ;
Alchemilla conjuncta;unknown;.175;;1;BIOPOP April 2005;.25;;.1;;;;
Alchemilla glabra;actual measurement (following LEDA data standards);.085;5;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.16;.098;.07;.085;;(automatically preaggregated values) ;
Alchemilla glabra;unknown;.35;;1;BIOPOP April 2005;;.35;;;;;
Alchemilla monticola;unknown;.19;;1;BIOPOP April 2005;;.19;;;;;
Alchemilla monticola;unknown;.19;;1;BIOPOP April 2005;.3;;.08;;;;Jäger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Kritischer Band
Alchemilla versipila;unknown;.415;;1;BIOPOP April 2005;.33;;.5;;;;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Alchemilla vulgaris;unknown;.425;;1;BIOPOP April 2005;.8;;.05;;;;Haeupler, H. (2000): Bildatlas der Farn- und Blütenpflanzen Deutschlands
Alchemilla xanthochlora;unknown;.425;;1;BIOPOP April 2005;.8;;.05;;;;Haeupler, H. (2000): Bildatlas der Farn- und Blütenpflanzen Deutschlands
Alliaria petiolata;actual measurement (following LEDA data standards);.8;25;1;BIOPOP April 2005;.8;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Alliaria petiolata;unknown;.7;;1;BIOPOP April 2005;;.7;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Alliaria petiolata;unknown;.6;;1;BIOPOP April 2005;1;;.2;;;;
Allium angulosum;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Allium carinatum;estimation (following LEDA data standards);.45;;1;BIOPOP April 2005;.6;;.3;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Allium cepa;unknown;.675;;1;BIOPOP April 2005;1.2;;.15;;;;
Allium fistulosum;unknown;.65;;1;BIOPOP April 2005;1;;.3;;;;
Allium lineare;unknown;.3;;1;BIOPOP April 2005;.45;;.15;;;;
Allium nigrum;actual measurement (following LEDA data standards);.5;25;1;BIOPOP April 2005;.5;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Allium oleraceum;actual measurement (following LEDA data standards);.7;25;1;BIOPOP April 2005;.7;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Allium oleraceum;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Allium paradoxum;unknown;.35;;1;BIOPOP April 2005;.4;;.3;;;;
Allium porrum;unknown;.65;;1;BIOPOP April 2005;.9;;.4;;;;
Allium sativum;unknown;.475;;1;BIOPOP April 2005;.7;;.25;;;;
Allium schoenoprasum;laboratory/greenhouse/garden experiment;.35;23;-2;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;.45;.36;.29;.35;;(automatically preaggregated values) ;
Allium schoenoprasum;unknown;.325;;1;BIOPOP April 2005;.5;;.15;;;;
Allium scorodoprasum;estimation (following LEDA data standards);.8;;1;BIOPOP April 2005;1;;.6;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Allium scorodoprasum;unknown;.8;;1;BIOPOP April 2005;1;;.6;;;;
Allium scorodoprasum s. rotundum;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Allium senescens;unknown;.225;;1;BIOPOP April 2005;.3;;.15;;;;
Allium sphaerocephalon;actual measurement (following LEDA data standards);.45;25;1;BIOPOP April 2005;.45;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Allium sphaerocephalon;unknown;.45;;1;BIOPOP April 2005;.6;;.3;;;;
Allium suaveolens;unknown;.3;;1;BIOPOP April 2005;.4;;.2;;;;
Allium ursinum;actual measurement (following LEDA data standards);.35;25;1;BIOPOP April 2005;.35;;;;;;Luftensteiner, H. W. (1982): Untersuchungen zur Verbreitungsbiologie von Pflanzengemeinschaften an vier Standorten in Niederösterreich.
Allium ursinum;unknown;.35;;1;BIOPOP April 2005;.5;;.2;;;;
Allium ursinum;unknown;.25;;1;BIOPOP April 2005;;.25;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Allium victorialis;unknown;.5;;1;BIOPOP April 2005;.6;;.4;;;;
Allium vineale;estimation (following LEDA data standards);.5;;1;BIOPOP April 2005;.7;;.3;;;;Jäger, E.J. and Werner, K. (1995). Rothmaler Exkursionsflora von Deutschland. Gefäßpflanzen: Atlasband. Vol. 3. Jena, Fischer
Alnus glutinosa;unknown;20;;1;BIOPOP April 2005;20;;;;;;
Alnus glutinosa;unknown;15;;1;BIOPOP April 2005;;15;;;;;Grime, J. P.(1981): A comparative study of germination characteristics in a local flora.
Alnus incana;unknown;14;;1;BIOPOP April 2005;25;;3;;;;
Alnus viridis;unknown;3;;1;BIOPOP April 2005;4;;2;;;;
Alopecurus aequalis;unknown;.175;;1;BIOPOP April 2005;.25;;.1;;;;
