The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", sbs_sbsname "SBS name", m_methodname "general method", dia_name "diaspore type", diglv_genname "gen. diaspore type", ref_refname "reference", seslv_name "seed structure", seglv_name "gen. seed structure", mdu_ishooked "seed structure hooked", mdu_valid "valid", or_origrefname "original reference", mdu_comment "general comment" FROM (SELECT mdu_m.mdu_ishooked, sbs.sbs_sbsnumber, sbs.sbs_sbsname, mdu_m.m_methodname, mdu_m.dia_name, mdu_m.diglv_genname, mdu_m.ref_refname, mdu_m.seslv_name, mdu_m.seglv_name, mdu_m.mdu_valid, mdu_m.or_origrefname, mdu_m.mdu_comment, mdu_m.mdu_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT mdu_dialv.mdu_sbsnumber, mdu_dialv.mdu_ishooked, m.m_methodname, mdu_dialv.dia_name, mdu_dialv.diglv_genname, mdu_dialv.ref_refname, mdu_dialv.seslv_name, mdu_dialv.seglv_name, mdu_dialv.mdu_valid, mdu_dialv.or_origrefname, mdu_dialv.mdu_comment FROM (SELECT mdu_diglv.mdu_sbsnumber, mdu_diglv.mdu_ishooked, mdu_diglv.mdu_methodid, dialv.dia_name, mdu_diglv.diglv_genname, mdu_diglv.ref_refname, mdu_diglv.seslv_name, mdu_diglv.seglv_name, mdu_diglv.mdu_valid, mdu_diglv.or_origrefname, mdu_diglv.mdu_comment FROM (SELECT r_mdu.mdu_sbsnumber, r_mdu.mdu_ishooked, r_mdu.mdu_methodid, r_mdu.mdu_diasporemorphid, diglv.diglv_genname, r_mdu.ref_refname, r_mdu.seslv_name, r_mdu.seglv_name, r_mdu.mdu_valid, r_mdu.or_origrefname, r_mdu.mdu_comment FROM (SELECT mdu_seslv.mdu_sbsnumber, mdu_seslv.mdu_ishooked, mdu_seslv.mdu_methodid, mdu_seslv.mdu_diasporemorphid, mdu_seslv.mdu_gendiamorphid, r.ref_refname, mdu_seslv.seslv_name, mdu_seslv.seglv_name, mdu_seslv.mdu_valid, mdu_seslv.or_origrefname, mdu_seslv.mdu_comment FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT mdu_seglv.mdu_sbsnumber, mdu_seglv.mdu_ishooked, mdu_seglv.mdu_methodid, mdu_seglv.mdu_diasporemorphid, mdu_seglv.mdu_gendiamorphid, mdu_seglv.mdu_referenceid, seslv.seslv_name, mdu_seglv.seglv_name, mdu_seglv.mdu_valid, mdu_seglv.or_origrefname, mdu_seglv.mdu_comment FROM (SELECT mdu_orf.mdu_sbsnumber, mdu_orf.mdu_ishooked, mdu_orf.mdu_methodid, mdu_orf.mdu_diasporemorphid, mdu_orf.mdu_gendiamorphid, mdu_orf.mdu_referenceid, mdu_orf.mdu_seedstructureid, seglv.seglv_name, mdu_orf.mdu_valid, mdu_orf.or_origrefname, mdu_orf.mdu_comment FROM (SELECT mdu.mdu_sbsnumber, mdu.mdu_ishooked, mdu.mdu_methodid, mdu.mdu_diasporemorphid, mdu.mdu_gendiamorphid, mdu.mdu_referenceid, mdu.mdu_seedstructureid, mdu.mdu_genseedstructureid, mdu.mdu_valid, orf.or_origrefname, mdu.mdu_comment FROM (SELECT sbsnumber AS mdu_sbsnumber, ishooked AS mdu_ishooked, methodid AS mdu_methodid, diasporemorphologyid AS mdu_diasporemorphid, gendiasporemorphologyid AS mdu_gendiamorphid, referenceid AS mdu_referenceid, seedstructureid AS mdu_seedstructureid, genseedstructureid AS mdu_genseedstructureid, valid AS mdu_valid, origreferenceid AS mdu_origreferenceid, p_comment AS mdu_comment FROM (SELECT sbsnumber, taxonid, referenceid, origreferenceid, batchid, methodid, p_comment, seedstructureid, seedstructureid - MOD(seedstructureid,10) AS genseedstructureid, ishooked as ishookedid,
CASE ishooked WHEN 0 THEN 'not hooked' WHEN 1 THEN 'hooked' ELSE 'unknown' END AS ishooked, diasporemorphologyid, diasporemorphologyid - MOD(diasporemorphologyid,10) AS gendiasporemorphologyid, 
created_when, updated_when, valid, validsince, validuntil, ledaid, morphologyofdispersalunitid FROM MORPHOLOGYOFDISPERSALUNIT NATURAL JOIN TAXONTOSBSASSIGNMENT WHERE valid IN (-1, 0))) mdu FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON mdu.mdu_origreferenceid = orf.or_origrefid) mdu_orf FULL JOIN (SELECT seedstructureid AS seglv_id, genseedstructurename AS seglv_name FROM (select a.seedstructureid, b.seedstructurecode as genseedstructurecode, b.seedstructurename as genseedstructurename from seedstructure_lv a join seedstructure_lv b on b.seedstructureid = a.seedstructureid - MOD(a.seedstructureid,10)
)) seglv ON mdu_orf.mdu_genseedstructureid = seglv.seglv_id) mdu_seglv FULL JOIN (SELECT seedstructureid AS seslv_id, seedstructurename AS seslv_name FROM (select seedstructureid, seedstructurecode, seedstructurename from seedstructure_lv)) seslv ON mdu_seglv.mdu_seedstructureid = seslv.seslv_id) mdu_seslv ON r.ref_referenceid = mdu_seslv.mdu_referenceid) r_mdu LEFT JOIN (SELECT diasporemorphologyid AS diglv_genid, diasporemorphologyname AS diglv_genname FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) diglv ON r_mdu.mdu_gendiamorphid = diglv.diglv_genid) mdu_diglv LEFT JOIN (SELECT diasporemorphologyid AS dia_id, diasporemorphologyname AS dia_name FROM (select diasporemorphologyid, diasporemorphologycode, diasporemorphologyname from diasporemorphology_lv)) dialv ON mdu_diglv.mdu_diasporemorphid = dialv.dia_id) mdu_dialv LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON mdu_dialv.mdu_methodid = m.m_methodid) mdu_m ON sbs.sbs_sbsnumber = mdu_m.mdu_sbsnumber)
on Mon Jul 14 15:48:35 CEST 2008 .

SBS number;SBS name;general method;diaspore type;gen. diaspore type;reference;seed structure;gen. seed structure;seed structure hooked;valid;original reference;general comment
29358;Fragaria viridis;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Poschlod), E-Mail: Peter.Poschlod@biologie.uni-regensburg.de;Pulp;Nutrient containing structures;unknown;0;;null
29604;Rubus idaeus;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
15404;Lonicera caerulea;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Pulp;Nutrient containing structures;unknown;0;;null
15385;Lonicera periclymenum;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Poschlod), E-Mail: Peter.Poschlod@biologie.uni-regensburg.de;Pulp;Nutrient containing structures;unknown;0;;null
25977;Myrtus communis;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
11672;Berberis vulgaris;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Pulp;Nutrient containing structures;unknown;0;;Diaspore type: 2-3 seeds per fruit
18484;Cucurbita pepo;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
30842;Rosa gallica;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Rüther) (carsten.ruether@biologie.uni-regensburg.de);Pulp;Nutrient containing structures;unknown;0;;null
23116;Ribes alpinum;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
18482;Cucurbita maxima;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
18481;Cucumis sativus;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
18480;Cucumis melo;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
18476;Bryonia cretica s. cretica;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
18474;Bryonia alba;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
18461;Citrullus lanatus;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
18450;Citrullus colocynthis;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
38660;Asparagus officinalis;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);Pulp;Nutrient containing structures;unknown;0;;null
35075;Physalis angulata;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
35072;Physalis alkekengi;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
35041;Solanum dulcamara;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
34980;Physalis philadelphica;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
34978;Physalis peruviana;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
35879;Calla palustris;derivation from photos or drawings;multi-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;Pulp;Nutrient containing structures;unknown;0;;null
27980;Reseda odorata;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;;;unknown;0;;null
13319;Cochlearia anglica;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;Other specialisation;Other specialisation;unknown;0;; Seed structure: mucilage when wet
13947;Lepidium ruderale;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg , Chair of Botany, DE (Jackel), E-Mail: auc.jackel@t-online.de;No appendages, smooth surface;No appendages;unknown;0;;null
13930;Sisymbrium loeselii;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;null
13926;Sisymbrium austriacum;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;null
13886;Rapistrum rugosum;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;Diaspore type: Type 2: seeds?!
13726;Cardamine heptaphylla;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;; Seed structure: mucilage when wet
13720;Capsella rubella;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;null
25544;Fumaria muralis;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;null
25522;Fumaria vaillantii;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;null
25520;Fumaria schleicheri;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;null
14684;Armoracia macrocarpa;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Tackenberg) (oliver.tackenberg@biologie.uni-regensburg.de);No appendages, smooth surface;No appendages;unknown;0;;null
14649;Sisymbrium polyceratium;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;null
14646;Sisymbrium irio;derivation from photos or drawings;one-seeded generative dispersule;generative dispersule;Source data from University of Regensburg, Chair of Botany, DE (Römermann), E-Mail: roemermann@em.uni-frankfurt.de;No appendages, smooth surface;No appendages;unknown;0;;null
