The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", aflv_name "age of first flowering", aof_valid "valid", ref_refname "reference", aof_comment "general comment", aof_minyears "Minumum years", aof_maxyears "Maximum years", or_origrefname "original reference" FROM (SELECT aflv.aflv_name, sbs_aof.sbs_sbsnumber, sbs_aof.sbs_sbsname, sbs_aof.m_methodname, sbs_aof.aof_valid, sbs_aof.ref_refname, sbs_aof.aof_comment, sbs_aof.aof_minyears, sbs_aof.aof_maxyears, sbs_aof.or_origrefname, sbs_aof.aof_sbsnumber FROM (SELECT ageoffirstfloweringtypeid AS aflv_id, ageoffirstfloweringtypename AS aflv_name FROM (SELECT ageoffirstfloweringtypeid, ageoffirstfloweringtypename from ageoffirstfloweringtype_lv)) aflv JOIN (SELECT aof_m.aof_categoryid, sbs.sbs_sbsnumber, sbs.sbs_sbsname, aof_m.m_methodname, aof_m.aof_valid, aof_m.ref_refname, aof_m.aof_comment, aof_m.aof_minyears, aof_m.aof_maxyears, aof_m.or_origrefname, aof_m.aof_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_aof.aof_categoryid, r_aof.aof_sbsnumber, m.m_methodname, r_aof.aof_valid, r_aof.ref_refname, r_aof.aof_comment, r_aof.aof_minyears, r_aof.aof_maxyears, r_aof.or_origrefname FROM (SELECT aof_orf.aof_categoryid, aof_orf.aof_sbsnumber, aof_orf.aof_methodid, aof_orf.aof_valid, r.ref_refname, aof_orf.aof_comment, aof_orf.aof_minyears, aof_orf.aof_maxyears, aof_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT aof.aof_categoryid, aof.aof_sbsnumber, aof.aof_methodid, aof.aof_valid, aof.aof_referenceid, aof.aof_comment, aof.aof_minyears, aof.aof_maxyears, orf.or_origrefname FROM (SELECT ageoffirstfloweringtypeid AS aof_categoryid, sbsnumber AS aof_sbsnumber, methodid AS aof_methodid, valid AS aof_valid, referenceid AS aof_referenceid, p_comment AS aof_comment, minvalue AS aof_minyears, maxvalue AS aof_maxyears, origreferenceid AS aof_origreferenceid FROM (SELECT sbsnumber, taxonid, ageoffirstfloweringtypeid, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, ledaid, batchid, ageoffirstfloweringid, minvalue, maxvalue FROM ageoffirstflowering natural join taxontosbsassignment WHERE valid IN (-2, 1, 2, -8, 2, -8))) aof FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON aof.aof_origreferenceid = orf.or_origrefid) aof_orf ON r.ref_referenceid = aof_orf.aof_referenceid) r_aof LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_aof.aof_methodid = m.m_methodid) aof_m ON sbs.sbs_sbsnumber = aof_m.aof_sbsnumber) sbs_aof ON aflv.aflv_id = sbs_aof.aof_categoryid) ORDER BY sbs_sbsname
on Mon Oct 27 17:54:56 CET 2008 .

SBS name;SBS number;general method;age of first flowering;valid;reference;general comment;Minumum years;Maximum years;original reference
Achillea millefolium;3013;unknown;Within 1 year;1;BIOPOP April 2005;Value: min;0;1;Warwick, S.I. (1982): The biology of Canadian weeds. 52. Achillea millefolium L. S.L.
Achillea millefolium;3013;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Achillea ptarmica;4799;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is in the first year;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Acinos arvensis;24493;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Acinos arvensis;24493;unknown;Between 1 and 5 years;1;BIOPOP April 2005;Value: Sec;2;6;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Actaea spicata;27324;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is before the 5th year.;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Adonis aestivalis;27328;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Braun, A.(1864): Flora der province brandenburg []
Adonis aestivalis;27328;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Adonis aestivalis;27328;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Adonis annua;27329;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Adonis flammea;27336;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Braun, A.(1864): Flora der province brandenburg []
Adonis flammea;27336;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Aegilops cylindrica;42076;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Aegilops geniculata;41112;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Aegilops neglecta;40461;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Aegilops triuncialis;40521;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Aegopodium podagraria;2007;unknown;Between 1 and 5 years;1;BIOPOP April 2005;;2;6;Korsmo, E. (1930): Unkräuter im Ackerbau der Neuzeit: Biologische und praktische Untersuchungen
Aesculus hippocastanum;24982;unknown;Over 5 years;1;BIOPOP April 2005;;6;15;Bartels, H. (1993): Gehölzkunde
Aesculus hippocastanum;24982;unknown;Over 5 years;1;BIOPOP April 2005;;6;15;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Aethusa cynapium;1502;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Braun, A.(1864): Flora der province brandenburg []
Aethusa cynapium;1502;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Ageratum houstonianum;4803;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Tutin, T.G.(1964): Flora Europaea []
Agrimonia eupatoria;29512;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between the first and fifth year;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Agrimonia eupatoria;29512;unknown;Between 1 and 5 years;1;BIOPOP April 2005;;2;6;Krebs, S. (1992): Ansaat autochthoner Wildkräuter zur Biotopentwicklung in intensiv genutzten Agrarlandschaften. Ph.D []
Agrimonia procera;29916;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Agrostemma githago;16318;observation (like obvious taxonomical traits);Within 1 year;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Firbank, L. G. (unknown e-mail address)
Agrostemma githago;16318;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Agrostemma githago;16318;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Braun, A.(1864): Flora der province brandenburg []
Agrostis gigantea;40852;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Kutschera, L.(1960): Wurzelatlas mitteleuropäischer Ackerkräuter und Kulturpflanzen [574]
Aira caryophyllea;40866;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Aira elegantissima;41628;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Aira praecox;41629;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Ajuga chamaepitys;24497;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Ajuga genevensis;24142;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is in the first or second year.;;;Irmisch, T.(1855): Beiträge zur vergleichenden Morphologie der Pflanzen []
Ajuga reptans;25159;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is in the second year;;;Benneker, E.(1915): Zur Kenntnis des Baues, der Entwicklung und der Inhaltsverhältnisse der Ausläufer und Rhizome [1-192]
Ajuga reptans;25159;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is in the second year;;;Irmisch, T.(1855): Beiträge zur vergleichenden Morphologie der Pflanzen []
Alchemilla monticola;29465;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between the first and fifth year.;;;Tikhomirov, V.N.(1995): Biological flora of Moscow region [83-118]
Alchemilla vulgaris;60849;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between first and fifth year.;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Alisma plantago-aquatica;35609;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between the first and fifth year.;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Alisma plantago-aquatica;35609;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;the plant is able to create three generations of shoots and they can flower together in within the same year;;;Irmisch, T.(1850): Zur Morphologie der monokotylischen Knollen- und Zwibelgewachse [286]
Alliaria petiolata;13080;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): non-British data;;;Cavers, P. B.(1979): no title given, publication in Canadian Journal of Plant Science issue: 59 pages: 217-229 [59]
Alliaria petiolata;13080;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Alliaria petiolata;13080;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Cavers, P. B.(1979): The biology of Canadian weeds. 35. Alliaria petiolata.
Alliaria petiolata;13080;unknown;Between 1 and 5 years;1;BIOPOP April 2005;Value: Prim;1;2;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Allium carinatum;39360;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between the first and fifth year.;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Allium cepa;38778;unknown;Between 1 and 5 years;1;BIOPOP April 2005;;1;2;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Allium oleraceum;38816;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Allium paradoxum;38827;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Allium sativum;39214;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Allium schoenoprasum;39221;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Allium scorodoprasum;39339;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Allium ursinum;39243;observation (like obvious taxonomical traits);Between 1 and 5 years;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): -;;;Grime, J. P.(1988): Comparative Plant Ecology, Unwin Hyman, London []
Allium ursinum;39243;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Allium vineale;39246;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Alopecurus geniculatus;41635;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Alopecurus myosuroides;41138;observation (like obvious taxonomical traits);Within 1 year;1;ECOFLORA - database of the ecological flora of the british isles;Original comment from ECOFLORA ("Source no." points to this record's original reference): spring germinating;;;Naylor, R. E. C.(1972): no title given, publication in Journal of Applied Ecology issue: 9 pages: 127-139 [9]
Alopecurus myosuroides;41138;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Alopecurus myosuroides;41138;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Naylor, R. E. L. (1972): Biological flora of the British Isles: Alopecurus myosuroides Huds. [60]
Alopecurus myosuroides;41138;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Alopecurus pratensis;40391;unknown;Within 1 year;1;BIOPOP April 2005;;0;1;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Alopecurus pratensis;40391;unknown;Between 1 and 5 years;1;BIOPOP April 2005;;1;2;Kleyer, M. (1995): Biological traits of vascular plants. A database. Arbeitsberichte Inst. f. Landschaftsplanung u. Ökologie N. F
Althaea hirsuta;25778;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Althaea hirsuta;25778;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Althaea officinalis;25782;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;first flowering is between the first and fifth year;;;Personal Communication: Vroon, T. (zandhoogte@hetnet.nl)
Alyssum alyssoides;13424;observation (like obvious taxonomical traits);Between 1 and 5 years;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Alyssum alyssoides;13424;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Polunin, O.(1969): Flowers of Europe []
Amaranthus albus;891;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Amaranthus blitoides;892;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
Amaranthus caudatus;894;observation (like obvious taxonomical traits);Within 1 year;1;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: j.vangroenendael@science.ru.nl;;;;Fitschen, J.(1993): Flora von Deutschland und angrenzender Länder. []
