The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", dtlv_name "dispersal type", dvlv_name "dispersal vector", dvglv_genname "gen. dispersal vector", dglv_genname "gen. dispersal type", byc_avgsingle "BYC avg. float. cap. (sv) [%]" FROM (SELECT ROUND(AVG(byc_singlevalue),2) AS byc_avgsingle, sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname FROM (SELECT case when byc_median is not null then byc_median when byc_mean is not null then byc_mean when byc_minimum is not null and byc_maximum is not null then (byc_minimum + byc_maximum) / 2 when byc_minimum is not null then byc_minimum when byc_maximum is not null then byc_maximum else null end AS byc_singlevalue, sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname FROM (SELECT sbs_dis.sbs_sbsnumber, sbs_dis.sbs_sbsname, sbs_dis.dtlv_name, sbs_dis.dvlv_name, sbs_dis.dvglv_genname, sbs_dis.dglv_genname, byc.byc_median, byc.byc_mean, byc.byc_minimum, byc.byc_maximum FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, dis_dtlv.dtlv_name, dis_dtlv.dvlv_name, dis_dtlv.dvglv_genname, dis_dtlv.dglv_genname FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs LEFT JOIN (SELECT dis_dvlv.dis_sbsnumber, dtlv.dtlv_name, dis_dvlv.dvlv_name, dis_dvlv.dvglv_genname, dis_dvlv.dglv_genname FROM (SELECT dis_dvglv.dis_sbsnumber, dis_dvglv.dis_dtid, dvlv.dvlv_name, dis_dvglv.dvglv_genname, dis_dvglv.dglv_genname FROM (SELECT dis_dtglv.dis_sbsnumber, dis_dtglv.dis_dtid, dis_dtglv.dis_dvid, dvglv.dvglv_genname, dis_dtglv.dglv_genname FROM (SELECT dis.dis_sbsnumber, dis.dis_dtid, dis.dis_dvid, dis.dis_gendvid, dtglv.dglv_genname FROM (SELECT sbsnumber AS dis_sbsnumber, dispersaltypeid AS dis_dtid, dispersalvectorid AS dis_dvid, gendispvectorid AS dis_gendvid, gendisptypeid AS dis_gendtid FROM (SELECT sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, p_comment, dispersalunitid, dispersaltypeid, dispersalvectorid, dispersalunitid - mod(dispersalunitid,10) as gendispunitid, dispersaltypeid - mod(dispersaltypeid,10) as gendisptypeid, dispersalvectorid - mod(dispersalvectorid,100) as gendispvectorid, created_when, updated_when, valid, validsince, validuntil, ledaid, dispersalid FROM dispersal NATURAL JOIN taxontosbsassignment)) dis FULL JOIN (SELECT dispersaltypeid AS dglv_genid, dispersaltypename AS dglv_genname FROM (select dispersaltypeid, dispersaltypename, generaliseddispersaltype, explanation, case when lddid = 0 then 'no' when lddid = 1 then 'yes' else 'unknown' end as dispersaltypelddpotential from dispersaltype_lv)) dtglv ON dis.dis_gendtid = dtglv.dglv_genid) dis_dtglv FULL JOIN (SELECT dispersalvectorid AS dvglv_genid, dispersalvectorname AS dvglv_genname FROM (select dispersalvectorid, dispersalvectorname, longdistancedispersal from dispersalvector_lv)) dvglv ON dis_dtglv.dis_gendvid = dvglv.dvglv_genid) dis_dvglv FULL JOIN (SELECT dispersalvectorid AS dvlv_id, dispersalvectorname AS dvlv_name FROM (select dispersalvectorid, dispersalvectorname, case when longdistancedispersal = 1 then 'yes' when longdistancedispersal = 0 then 'no' else 'unknown' end as longdistancedispersal from dispersalvector_lv)) dvlv ON dis_dvglv.dis_dvid = dvlv.dvlv_id) dis_dvlv FULL JOIN (SELECT dispersaltypeid AS dtlv_id, dispersaltypename AS dtlv_name FROM (select dispersaltypeid, dispersaltypename, generaliseddispersaltype, explanation, case when lddid = 0 then 'no' when lddid = 1 then 'yes' else 'unknown' end as dispersaltypelddpotential from dispersaltype_lv)) dtlv ON dis_dvlv.dis_dtid = dtlv.dtlv_id) dis_dtlv ON sbs.sbs_sbsnumber = dis_dtlv.dis_sbsnumber) sbs_dis LEFT JOIN (SELECT sbsnumber AS byc_sbsnumber, median AS byc_median, mean AS byc_mean, minimum AS byc_minimum, maximum AS byc_maximum, valid AS byc_valid FROM (select SBSNUMBER, DISPERSALMEASUREMENTID, TIMESTEPMINUTES, TIMESTEPINTERVAL || ' - ' || TIMESTEPNAME AS TIMESTEPCODEANDNAME, N, REPLICATES, MEAN, MEDIAN, MINIMUM, MAXIMUM, STDDEVIATION, STDERROR, P_COMMENT, CREATED_WHEN, UPDATED_WHEN, BATCHID, UPDATEDWHO, REFERENCEID, METHODID, TAXONID, ORIGREFERENCEID, HABITATTYPEID, GEOREFID, VALID, VALIDSINCE, VALIDUNTIL, LEDAID, DISPERSALID, DISPERSALPOTENTIAL, ORIGINALDISPERSALVECTORVALUE, DISPERSALVECTORID, dispersalvectorid - mod(dispersalvectorid,100) as gendispvectorid, DISPERSALTYPEID, dispersaltypeid - mod(dispersaltypeid,10) as gendisptypeid,
DISPERSALUNITID, dispersalunitid - mod(dispersalunitid,10) as gendispersalunitid from timestep_lv natural right join (SELECT SBSNUMBER, DISPERSALMEASUREMENTID, TIMESTEPINMINUTES as timestepminutes, N, REPLICATES, MEAN, MEDIAN, MINIMUM, MAXIMUM, STDDEVIATION, STDERROR, P_COMMENT, CREATED_WHEN, UPDATED_WHEN, BATCHID, UPDATEDWHO, REFERENCEID, METHODID, TAXONID, ORIGREFERENCEID, HABITATTYPEID, GEOREFID, VALID, VALIDSINCE, VALIDUNTIL, LEDAID, DISPERSALID, DISPERSALPOTENTIAL, ORIGINALDISPERSALVECTORVALUE, DISPERSALVECTORID, ORIGINALDISPERSALTYPEVALUE, DISPERSALTYPEID, DISPERSALUNITID FROM buoyancy_dispersal natural join taxontosbsassignment)
 WHERE valid IN (-2, 1, 2, -8, 2, -8))) byc ON sbs_dis.sbs_sbsnumber = byc.byc_sbsnumber)) GROUP BY sbs_sbsnumber, sbs_sbsname, dtlv_name, dvlv_name, dvglv_genname, dglv_genname) ORDER BY sbs_sbsname
on Fri Feb 05 10:05:29 CET 2010 .

SBS name;SBS number;dispersal type;dispersal vector;gen. dispersal vector;gen. dispersal type;BYC avg. float. cap. (sv) [%]
Acinos arvensis;24493;epizoochor;;;zoochor;50
Acinos arvensis;24493;nautochor;water;water;nautochor;50
Acinos corsicus;23499;;;;;
Aconitum anthora;29103;;;;;
Aconitum lycoctonum;27413;endozoochor;;;zoochor;50
Aconitum lycoctonum;27413;ethelochor;   commerce;man;hemerochor;50
Aconitum lycoctonum;27413;nautochor;water;water;nautochor;50
Aconitum lycoctonum s. lasiostomum;27399;;;;;
Aconitum lycoctonum subsp. moldavicum;45329;;;;;
Aconitum lycoctonum subsp. vulparia;45330;ethelochor;   commerce;man;hemerochor;
Aconitum napellus;27279;;;;;
Aconitum napellus s. firmum;45875;;;;;
Aconitum napellus s. tauricum;45874;;;;;
Aconitum napellus subsp. hians;45872;;;;;
Aconitum pilipes;61893;;;;;
Aconitum septentrionale;62645;nautochor;;;nautochor;
Aconitum toxicum;27419;;;;;
Aconitum variegatum;27421;autochor;;;autochor;
Aconitum variegatum;27421;boleochor;;;autochor;
Aconitum variegatum s. paniculatum;45341;;;;;
Aconitum volubile;61895;;;;;
Acorus calamus;35825;autochor;;;autochor;99.07
Acorus calamus;35825;ethelochor;   commerce;man;hemerochor;99.07
Acorus calamus;35825;hemerochor;;;hemerochor;99.07
Acorus calamus;35825;nautochor;   shaken fresh water;water;nautochor;99.07
Acroptilon repens;4695;;;;;
Actaea erythrocarpa;27323;;;;;
Actaea spicata;27324;endozoochor;bird;bird;zoochor;50
Actaea spicata;27324;endozoochor;;;zoochor;50
Actaea spicata;27324;ethelochor;   commerce;man;hemerochor;50
Actaea spicata;27324;ethelochor;;;hemerochor;50
Actaea spicata;27324;nautochor;water;water;nautochor;50
Actaea spicata;27324;nautochor;;;nautochor;50
Adenocarpus telonensis;21581;;;;;
Adenophora lilifolia;15316;;;;;
Adenostyles alliariae;3188;meteorochor;;;meteorochor;97.5
Adenostyles alliariae;3188;nautochor;   shaken fresh water;water;nautochor;97.5
Adenostyles alpina s. briquetii;5167;;;;;
Adenostyles alpina subsp. alpina;3190;;;;;
Adenostyles leucophylla;5961;;;;;
Adiantum capillus-veneris;111;;;;;
Adonis aestivalis;27328;autochor;;;autochor;
Adonis aestivalis;27328;ethelochor;   commerce;man;hemerochor;
Adonis aestivalis;27328;speirochor;   seed contamination;man;hemerochor;
Adonis aestivalis;27328;speirochor;;;hemerochor;
Adonis annua;27329;speirochor;   seed contamination;man;hemerochor;
Adonis flammea;27336;autochor;;;autochor;
Adonis flammea;27336;speirochor;   seed contamination;man;hemerochor;
Adonis flammea;27336;speirochor;;;hemerochor;
Adonis pyrenaica;27341;;;;;
Adonis vernalis;29095;boleochor;;;autochor;
Adonis vernalis;29095;dysochor;   ant;invertebrates;zoochor;
Adoxa moschatellina;2407;dysochor;bird;bird;zoochor;
Adoxa moschatellina;2407;endozoochor;   snail;invertebrates;zoochor;
Adoxa moschatellina;2407;endozoochor;bird;bird;zoochor;
Adoxa moschatellina;2407;endozoochor;;;zoochor;
Adoxa moschatellina;2407;nautochor;;;nautochor;
Aegilops biuncialis;61901;;;;;
Aegilops cylindrica;42076;;;;;
Aegilops geniculata;41112;;;;;
Aegilops neglecta;40461;;;;;
Aegilops speltoides;41114;;;;;
Aegilops tauschii;61902;;;;;
Aegilops triuncialis;40521;;;;;
Aegilops ventricosa;40523;;;;;
Aegopodium podagraria;2007;agochor;;;hemerochor;
Aegopodium podagraria;2007;autochor;;;autochor;
Aegopodium podagraria;2007;boleochor;;;autochor;
Aegopodium podagraria;2007;ethelochor;;;hemerochor;
Aegopodium podagraria;2007;meteorochor;;;meteorochor;
Aegopodium podagraria;2007;speirochor;;;hemerochor;
Aeluropus littoralis;40524;;;;;
Aeonium arboreum;18098;;;;;
Aeonium cuneatum;59411;;;;;
Aesculus carnea;24980;;;;;
Aesculus hippocastanum;24982;autochor;;;autochor;
Aesculus hippocastanum;24982;hemerochor;;;hemerochor;
Aesculus pavia;24983;;;;;
Aetheorhiza bulbosa;3652;;;;;
Aethionema saxatile;14330;chamaechor;;;other;27.5
Aethionema saxatile;14330;epizoochor;;;zoochor;27.5
Aethionema saxatile;14330;meteorochor;;;meteorochor;27.5
Aethionema saxatile;14330;nautochor;   shaken fresh water;water;nautochor;27.5
Aethionema saxatile;14330;nautochor;;;nautochor;27.5
Aethionema thomasianum;13848;;;;;
Aethusa cynapium;1502;agochor;;;hemerochor;
Aethusa cynapium;1502;autochor;;;autochor;
Aethusa cynapium;1502;epizoochor;   sheep;domestic animal;zoochor;
Aethusa cynapium;1502;meteorochor;;;meteorochor;
Aethusa cynapium;1502;speirochor;;;hemerochor;
Agapanthus praecox;39394;;;;;
Agave americana;35573;;;;;
Ageratum houstonianum;4803;ethelochor;   commerce;man;hemerochor;
Agrimonia eupatoria;29512;boleochor;;;autochor;54.8
Agrimonia eupatoria;29512;endozoochor;;;zoochor;54.8
Agrimonia eupatoria;29512;epizoochor;   cattle;domestic animal;zoochor;54.8
Agrimonia eupatoria;29512;epizoochor;   deer;big game;zoochor;54.8
Agrimonia eupatoria;29512;epizoochor;   dog;domestic animal;zoochor;54.8
Agrimonia eupatoria;29512;epizoochor;   mouse;small mammal in the wild;zoochor;54.8
Agrimonia eupatoria;29512;epizoochor;   sheep;domestic animal;zoochor;54.8
Agrimonia eupatoria;29512;epizoochor;   sheep-dummy;man;zoochor;54.8
Agrimonia eupatoria;29512;epizoochor;   wild boar;big game;zoochor;54.8
Agrimonia eupatoria;29512;epizoochor;;;zoochor;54.8
Agrimonia eupatoria;29512;ethelochor;   commerce;man;hemerochor;54.8
Agrimonia eupatoria;29512;ethelochor;;;hemerochor;54.8
Agrimonia eupatoria;29512;nautochor;   shaken fresh water;water;nautochor;54.8
Agrimonia eupatoria;29512;nautochor;water;water;nautochor;54.8
Agrimonia eupatoria;29512;nautochor;;;nautochor;54.8
Agrimonia eupatoria;29512;other;;;other;54.8
Agrimonia eupatoria;29512;zoochor;;;zoochor;54.8
Agrimonia pilosa;29947;epizoochor;;;zoochor;
Agrimonia procera;29916;epizoochor;;;zoochor;50
Agrimonia procera;29916;ethelochor;   commerce;man;hemerochor;50
Agrimonia procera;29916;nautochor;water;water;nautochor;50
Agrimonia repens;29902;epizoochor;;;zoochor;
Agropyron cristatum;40526;endozoochor;   rabbit;big mammal in the wild;zoochor;
Agropyron cristatum;40526;endozoochor;   sheep;domestic animal;zoochor;
Agropyron cristatum subsp. pectinatum;40469;;;;;
Agropyron dasyanthum;40527;;;;;
Agropyron desertorum;40470;;;;;
Agropyron fragile;40528;;;;;
Agrostemma githago;16318;boleochor;;;autochor;
Agrostemma githago;16318;dysochor;bird;bird;zoochor;
Agrostemma githago;16318;endozoochor;   cattle;domestic animal;zoochor;
Agrostemma githago;16318;endozoochor;   sheep;domestic animal;zoochor;
Agrostemma githago;16318;ethelochor;   commerce;man;hemerochor;
Agrostemma githago;16318;ethelochor;;;hemerochor;
Agrostemma githago;16318;hemerochor;;;hemerochor;
Agrostemma githago;16318;speirochor;   seed contamination;man;hemerochor;
Agrostemma githago;16318;speirochor;;;hemerochor;
Agrostemma gracile;45070;;;;;
Agrostis agrostiflora;40530;meteorochor;;;meteorochor;
Agrostis alpina;40479;meteorochor;;;meteorochor;
Agrostis alpina;40479;other;;;other;
Agrostis canina;40532;agochor;   hay making machinery;man;hemerochor;30
Agrostis canina;40532;endozoochor;   cattle;domestic animal;zoochor;30
Agrostis canina;40532;endozoochor;   deer;big game;zoochor;30
Agrostis canina;40532;endozoochor;   hare;big mammal in the wild;zoochor;30
Agrostis canina;40532;endozoochor;   rabbit;big mammal in the wild;zoochor;30
Agrostis canina;40532;endozoochor;   sheep;domestic animal;zoochor;30
Agrostis canina;40532;endozoochor;bird;bird;zoochor;30
Agrostis canina;40532;endozoochor;domestic animal;domestic animal;zoochor;30
Agrostis canina;40532;epizoochor;;;zoochor;30
Agrostis canina;40532;meteorochor;;;meteorochor;30
Agrostis canina;40532;nautochor;   shaken fresh water;water;nautochor;30
Agrostis canina;40532;nautochor;   standing fresh water;water;nautochor;30
Agrostis capillaris;41392;agochor;   car or other vehicle;man;hemerochor;91.38
Agrostis capillaris;41392;agochor;   hay making machinery;man;hemerochor;91.38
Agrostis capillaris;41392;agochor;;;hemerochor;91.38
Agrostis capillaris;41392;endozoochor;   cattle;domestic animal;zoochor;91.38
Agrostis capillaris;41392;endozoochor;   deer;big game;zoochor;91.38
Agrostis capillaris;41392;endozoochor;   hare;big mammal in the wild;zoochor;91.38
Agrostis capillaris;41392;endozoochor;   mammal;big mammal in the wild;zoochor;91.38
Agrostis capillaris;41392;endozoochor;   rabbit;big mammal in the wild;zoochor;91.38
Agrostis capillaris;41392;endozoochor;   sheep;domestic animal;zoochor;91.38
Agrostis capillaris;41392;endozoochor;   wild boar;big game;zoochor;91.38
