The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", m_methodname "general method", ch_singlevalue "single value [m]", ch_n "sample size", ch_valid "valid", ref_refname "reference", ch_mean "mean CH [m]", ch_maximum "maximum CH [m]", ch_minimum "minimum CH [m]", ch_replicates "number of replicates", ch_stddev "standard deviation", ch_stderror "standard error", ch_collectiondate "collection date", or_origrefname "original reference", geo_countryname "country", sst_typename "external support structure" FROM (SELECT case when ch_median is not null then ch_median when ch_mean is not null then ch_mean when ch_minimum is not null and ch_maximum is not null then (ch_minimum + ch_maximum) / 2 when ch_minimum is not null then ch_minimum when ch_maximum is not null then ch_maximum else null end AS ch_singlevalue, sbs_sbsnumber, sbs_sbsname, m_methodname, ch_mean, ch_minimum, ch_maximum, ch_n, ch_valid, ref_refname, ch_replicates, ch_stddev, ch_stderror, ch_collectiondate, or_origrefname, geo_countryname, sst_typename, ch_sbsnumber FROM (SELECT sbs.sbs_sbsnumber, sbs.sbs_sbsname, m_ch.m_methodname, m_ch.ch_median, m_ch.ch_mean, m_ch.ch_minimum, m_ch.ch_maximum, m_ch.ch_n, m_ch.ch_valid, m_ch.ref_refname, m_ch.ch_replicates, m_ch.ch_stddev, m_ch.ch_stderror, m_ch.ch_collectiondate, m_ch.or_origrefname, m_ch.geo_countryname, m_ch.sst_typename, m_ch.ch_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_ch.ch_sbsnumber, m.m_methodname, r_ch.ch_median, r_ch.ch_mean, r_ch.ch_minimum, r_ch.ch_maximum, r_ch.ch_n, r_ch.ch_valid, r_ch.ref_refname, r_ch.ch_replicates, r_ch.ch_stddev, r_ch.ch_stderror, r_ch.ch_collectiondate, r_ch.or_origrefname, r_ch.geo_countryname, r_ch.sst_typename FROM (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m JOIN (SELECT ch_orf.ch_sbsnumber, ch_orf.ch_methodid, ch_orf.ch_median, ch_orf.ch_mean, ch_orf.ch_minimum, ch_orf.ch_maximum, ch_orf.ch_n, ch_orf.ch_valid, r.ref_refname, ch_orf.ch_replicates, ch_orf.ch_stddev, ch_orf.ch_stderror, ch_orf.ch_collectiondate, ch_orf.or_origrefname, ch_orf.geo_countryname, ch_orf.sst_typename FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT ch_geo.ch_sbsnumber, ch_geo.ch_methodid, ch_geo.ch_median, ch_geo.ch_mean, ch_geo.ch_minimum, ch_geo.ch_maximum, ch_geo.ch_n, ch_geo.ch_valid, ch_geo.ch_referenceid, ch_geo.ch_replicates, ch_geo.ch_stddev, ch_geo.ch_stderror, ch_geo.ch_collectiondate, orf.or_origrefname, ch_geo.geo_countryname, ch_geo.sst_typename FROM (SELECT ch_sslv.ch_sbsnumber, ch_sslv.ch_methodid, ch_sslv.ch_median, ch_sslv.ch_mean, ch_sslv.ch_minimum, ch_sslv.ch_maximum, ch_sslv.ch_n, ch_sslv.ch_valid, ch_sslv.ch_referenceid, ch_sslv.ch_replicates, ch_sslv.ch_stddev, ch_sslv.ch_stderror, ch_sslv.ch_collectiondate, ch_sslv.ch_origreferenceid, geo.geo_countryname, ch_sslv.sst_typename FROM (SELECT ch.ch_sbsnumber, ch.ch_methodid, ch.ch_median, ch.ch_mean, ch.ch_minimum, ch.ch_maximum, ch.ch_n, ch.ch_valid, ch.ch_referenceid, ch.ch_replicates, ch.ch_stddev, ch.ch_stderror, ch.ch_collectiondate, ch.ch_origreferenceid, ch.ch_georeferenceid, sslv.sst_typename FROM (SELECT sbsnumber AS ch_sbsnumber, methodid AS ch_methodid, median AS ch_median, mean AS ch_mean, minimum AS ch_minimum, maximum AS ch_maximum, n AS ch_n, valid AS ch_valid, referenceid AS ch_referenceid, replicates AS ch_replicates, stddeviation AS ch_stddev, stderror AS ch_stderror, collectiondate AS ch_collectiondate, origreferenceid AS ch_origreferenceid, georefid AS ch_georeferenceid, supportstructuretypeid AS ch_structureid FROM (SELECT sbsnumber, taxonid, mean, median, minimum, maximum, stderror, stddeviation, n, replicates, created_when, updated_when, collectiondate, p_comment, methodid, referenceid, origreferenceid, habitattypeid, georefid, valid, validsince, validuntil, ledaid, batchid, supportstructuretypeid, canopyheightid FROM canopyheight natural join taxontosbsassignment WHERE valid IN (-2, 1))) ch FULL JOIN (SELECT supportstructuretypeid AS sst_typeid, supportstructuretypename AS sst_typename FROM (select supportstructuretypeid, supportstructuretypename from supportstructuretype_lv)) sslv ON ch.ch_structureid = sslv.sst_typeid) ch_sslv FULL JOIN (SELECT georefid AS geo_georefid, countryname AS geo_countryname FROM (select * from georef_part)) geo ON ch_sslv.ch_georeferenceid = geo.geo_georefid) ch_geo FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON ch_geo.ch_origreferenceid = orf.or_origrefid) ch_orf ON r.ref_referenceid = ch_orf.ch_referenceid) r_ch ON m.m_methodid = r_ch.ch_methodid) m_ch ON sbs.sbs_sbsnumber = m_ch.ch_sbsnumber)) ORDER BY sbs_sbsnumber
on Mon Jul 14 15:27:18 CEST 2008 .

SBS name;SBS number;general method;single value [m];sample size;valid;reference;mean CH [m];maximum CH [m];minimum CH [m];number of replicates;standard deviation;standard error;collection date;original reference;country;external support structure
Asplenium ruta-muraria;156;derivation from photos or drawings;.09;;1;BIOPOP April 2005;;.15;.03;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Blechnum spicant;160;derivation from photos or drawings;.325;;1;BIOPOP April 2005;;.5;.15;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum arvense;166;derivation from photos or drawings;.325;;1;BIOPOP April 2005;;.5;.15;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum fluviatile;167;derivation from photos or drawings;1;;1;BIOPOP April 2005;;1.5;.5;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum hyemale;170;derivation from photos or drawings;.95;;1;BIOPOP April 2005;;1.5;.4;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum palustre;174;derivation from photos or drawings;.3;;1;BIOPOP April 2005;;.5;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum pratense;175;derivation from photos or drawings;.325;;1;BIOPOP April 2005;;.5;.15;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum ramosissimum;176;derivation from photos or drawings;.9;;1;BIOPOP April 2005;;1;.8;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum sylvaticum;179;derivation from photos or drawings;.325;;1;BIOPOP April 2005;;.5;.15;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum telmateia;180;derivation from photos or drawings;1.25;;1;BIOPOP April 2005;;2;.5;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Equisetum variegatum;184;derivation from photos or drawings;.2;;1;BIOPOP April 2005;;.3;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Cryptogramma crispa;188;derivation from photos or drawings;.225;;1;BIOPOP April 2005;;.3;.15;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Pteridium aquilinum;250;unknown;.7;1;1;Cody, W. J.(1975): The biology of canadian weeds. 15. Pteridium aquilinum (L.) Kuhn [55];;1.5;.3;1;;;;Cody, W. J.(1975): The biology of canadian weeds. 15. Pteridium aquilinum (L.) Kuhn [55];CANADA;unknown
Pteridium aquilinum;250;derivation from photos or drawings;1.25;;1;BIOPOP April 2005;;2;.5;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Hymenophyllum tunbrigense;262;derivation from photos or drawings;.05;;1;BIOPOP April 2005;;.07;.03;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Botrychium lunaria;270;derivation from photos or drawings;.175;;1;BIOPOP April 2005;;.3;.05;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Botrychium matricariifolium;271;derivation from photos or drawings;.15;;1;BIOPOP April 2005;;.2;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Botrychium multifidum;273;derivation from photos or drawings;.175;;1;BIOPOP April 2005;;.25;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Botrychium simplex;279;derivation from photos or drawings;.07;;1;BIOPOP April 2005;;.12;.02;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Botrychium virginianum;280;derivation from photos or drawings;.45;;1;BIOPOP April 2005;;.8;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Ophioglossum vulgatum;283;derivation from photos or drawings;.125;;1;BIOPOP April 2005;;.2;.05;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Osmunda regalis;295;derivation from photos or drawings;1;;1;BIOPOP April 2005;;1.5;.5;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Thelypteris palustris;299;derivation from photos or drawings;.55;;1;BIOPOP April 2005;;.8;.3;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Oreopteris limbosperma;315;derivation from photos or drawings;.75;;1;BIOPOP April 2005;;1;.5;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Polystichum lonchitis;326;derivation from photos or drawings;.3;;1;BIOPOP April 2005;;.5;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Polystichum setiferum;332;derivation from photos or drawings;.8;;1;BIOPOP April 2005;;1;.6;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Polystichum aculeatum;337;derivation from photos or drawings;.8;;1;BIOPOP April 2005;;1;.6;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Dryopteris villarii;342;derivation from photos or drawings;.3;;1;BIOPOP April 2005;;.45;.15;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Gymnocarpium dryopteris;355;derivation from photos or drawings;.25;;1;BIOPOP April 2005;;.4;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Gymnocarpium robertianum;359;derivation from photos or drawings;.25;;1;BIOPOP April 2005;;.4;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Polystichum braunii;370;derivation from photos or drawings;.55;;1;BIOPOP April 2005;;.6;.5;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Dryopteris carthusiana;377;derivation from photos or drawings;.375;;1;BIOPOP April 2005;;.6;.15;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Dryopteris cristata;383;derivation from photos or drawings;.55;;1;BIOPOP April 2005;;.8;.3;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Dryopteris dilatata;387;derivation from photos or drawings;.6;;1;BIOPOP April 2005;;1;.2;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Dryopteris filix-mas;393;derivation from photos or drawings;.75;;1;BIOPOP April 2005;;1.2;.3;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Selaginella helvetica;438;derivation from photos or drawings;.05;;1;BIOPOP April 2005;;.08;.02;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Huperzia selago;464;derivation from photos or drawings;.175;;1;BIOPOP April 2005;;.3;.05;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Huperzia selago;464;actual measurement (following LEDA data standards);.11;4;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.11;.13;.08;;;;;;NORWAY;unknown
Huperzia selago;464;actual measurement (following LEDA data standards);.09;3;-2;Source data from Norwegian Institute for Nature Resaerch, NINA-Trondheim, NO (Rusch), E-Mail: Graciela.rusch@nina.no;.08;.09;.06;;;;;;NORWAY;unknown
Lycopodium annotinum;476;derivation from photos or drawings;.15;;1;BIOPOP April 2005;;.2;.1;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Lycopodium clavatum;479;derivation from photos or drawings;.115;;1;BIOPOP April 2005;;.2;.03;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Pseudotsuga menziesii;562;derivation from photos or drawings;65;;1;BIOPOP April 2005;;90;40;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Tsuga canadensis;566;derivation from photos or drawings;20;;1;BIOPOP April 2005;;30;10;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Pinus cembra;578;derivation from photos or drawings;15;;1;BIOPOP April 2005;;15;;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Pinus nigra;593;derivation from photos or drawings;40;;1;BIOPOP April 2005;;40;;;;;;J‰ger, E.J. (2000): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Atlasband;GERMANY;unknown
Pinus pinaster;607;observation (like obvious taxonomical traits);30;;1;ECOFLORA - database of the ecological flora of the british isles;;30;;;;;;Clapham, A. R.(1987): Flora of the British Isles, 3rd ed, Cambridge University Press, Cambridge [];;unknown
